日付S,場 R,馬番,馬名S,馬ID,性別,斤量,騎手,調教師,馬体重,馬体重増減,芝ダ,距離,クラス
2026.7.12,福1,1,ジャスパーグレイト,,牡,60.0,小坂,栗東森秀,490,4,障,2770,３歳以上障害未勝利
2026.7.12,福1,2,シグムンド,,牡,60.0,伴,美浦岩戸,510,-2,障,2770,３歳以上障害未勝利
2026.7.12,福1,3,トーアマリシテン,,セ,60.0,五十嵐,美浦小島,450,2,障,2770,３歳以上障害未勝利
2026.7.12,福1,4,アウルムレガリア,,牝,58.0,中村,美浦粕谷,402,-8,障,2770,３歳以上障害未勝利
2026.7.12,福1,5,フェイトライン,,牡,60.0,高田,栗東斉藤崇,530,6,障,2770,３歳以上障害未勝利
2026.7.12,福1,6,モスクロッサー,,セ,57.0,▲坂口,美浦大竹,520,-2,障,2770,３歳以上障害未勝利
2026.7.12,福1,7,スノーリン,,セ,60.0,江田勇,美浦和田雄,462,-4,障,2770,３歳以上障害未勝利
2026.7.12,福1,8,ブライテストドーン,,セ,60.0,黒岩,美浦田島,516,0,障,2770,３歳以上障害未勝利
2026.7.12,福1,9,クラウンウルル,,牡,57.0,▲土田,美浦菊川,488,6,障,2770,３歳以上障害未勝利
2026.7.12,福1,10,サラフィエル,,セ,60.0,大江圭,美浦鈴木慎,454,-2,障,2770,３歳以上障害未勝利
2026.7.12,福1,11,エポカスピーガ,,牝,58.0,草野,美浦田中剛,482,-2,障,2770,３歳以上障害未勝利
2026.7.12,福1,12,トモジャシャトー,,牡,57.0,▲水沼,美浦小笠,484,-8,障,2770,３歳以上障害未勝利
2026.7.12,福1,13,ノブダブルホワイト,,牡,60.0,難波,美浦松永康,438,-8,障,2770,３歳以上障害未勝利
2026.7.12,福1,14,ゲレル,,牝,58.0,小牧加,美浦小野,450,-4,障,2770,３歳以上障害未勝利
2026.7.12,福2,1,フィーユレアル,,牝,52.0,▲上里,美浦斎藤誠,478,2,ダ,1700,３歳未勝利
2026.7.12,福2,2,ヒロイックヴァース,,牡,54.0,▲石田,美浦浅利,476,-4,ダ,1700,３歳未勝利
2026.7.12,福2,3,ゴットタレント,,牡,57.0,杉原,美浦中舘,452,2,ダ,1700,３歳未勝利
2026.7.12,福2,4,トランセンコ,,牝,55.0,木幡育,美浦松永康,446,-6,ダ,1700,３歳未勝利
2026.7.12,福2,5,グラスフェザー,,牡,57.0,木幡巧,美浦田島,488,2,ダ,1700,３歳未勝利
2026.7.12,福2,6,アーティキュレート,,牡,57.0,菊沢,美浦手塚久,492,-2,ダ,1700,３歳未勝利
