日付S,場 R,馬番,馬名S,馬ID,性別,斤量,騎手,調教師,馬体重,馬体重増減,芝ダ,距離,クラス
2026.1.17,中1,1,ビックリパラダイス,,牡,57.0,岩部,美浦萱野,484,-10,ダ,1200,３歳未勝利
2026.1.17,中1,2,カシスピーチ,,牝,55.0,菅原隆,美浦蛯名利,404,0,ダ,1200,３歳未勝利
2026.1.17,中1,3,アシャカバッハ,,牡,54.0,▲小林美,美浦小笠,468,8,ダ,1200,３歳未勝利
2026.1.17,中1,4,エコロバロン,,牡,57.0,菊沢,美浦菊沢,492,-4,ダ,1200,３歳未勝利
2026.1.17,中1,5,アイアムステキ,,牝,55.0,松岡,美浦奥平,450,2,ダ,1200,３歳未勝利
2026.1.17,中1,6,アシャカルッカ,,牝,52.0,▲石田,美浦鈴木伸,442,4,ダ,1200,３歳未勝利
2026.1.17,中1,7,ウチュウノハナ,,牝,55.0,木幡巧,美浦牧,428,4,ダ,1200,３歳未勝利
2026.1.17,中1,8,ラストシャイニー,,牝,55.0,横山和,美浦千葉,426,-2,ダ,1200,３歳未勝利
2026.1.17,中1,9,イイクニパッション,,牡,57.0,内田博,美浦深山,510,4,ダ,1200,３歳未勝利
2026.1.17,中1,10,タイセイガナール,,牡,55.0,△長浜,美浦伊藤圭,474,-4,ダ,1200,３歳未勝利
2026.1.17,中1,11,サントマーレ,,牡,57.0,戸崎圭,美浦尾関,518,2,ダ,1200,３歳未勝利
2026.1.17,中1,12,ウシャス,,牝,55.0,佐々木,美浦小西,436,4,ダ,1200,３歳未勝利
2026.1.17,中1,13,ヌクレオチド,,牡,57.0,柴田善,美浦粕谷,484,12,ダ,1200,３歳未勝利
2026.1.17,中1,14,エバーラスト,,牡,54.0,▲石神道,美浦和田郎,498,10,ダ,1200,３歳未勝利
2026.1.17,中1,15,グラデュエール,,牝,55.0,木幡初,美浦粕谷,418,0,ダ,1200,３歳未勝利
2026.1.17,中1,16,ジーティーニッツァ,,牡,54.0,▲遠藤,美浦伊藤伸,450,-4,ダ,1200,３歳未勝利
2026.1.17,中2,1,セブンワンダーズ,,牡,57.0,横山琉,美浦斎藤誠,470,-4,ダ,1800,３歳未勝利
2026.1.17,中2,2,ザンテソーロ,,牡,57.0,原,美浦畠山,448,2,ダ,1800,３歳未勝利
2026.1.17,中2,3,マツリダシリウス,,牡,57.0,武藤,美浦水野,472,0,ダ,1800,３歳未勝利
2026.1.17,中2,4,ブラックパロット,,牡,57.0,内田博,美浦国枝,524,-16,ダ,1800,３歳未勝利
2026.1.17,中2,5,トモジャユニベール,,牡,54.0,▲小林美,美浦小笠,464,14,ダ,1800,３歳未勝利
2026.1.17,中2,6,サムシングニュー,,牡,54.0,▲舟山,美浦鹿戸,476,0,ダ,1800,３歳未勝利
2026.1.17,中2,7,テンバコウクウ,,牡,57.0,松岡,美浦柄崎,472,6,ダ,1800,３歳未勝利
2026.1.17,中2,8,ライヴマルガリータ,,牝,55.0,木幡巧,美浦牧,460,-4,ダ,1800,３歳未勝利
2026.1.17,中2,9,チャンピオンホース,,牡,57.0,石川,美浦尾形,464,-2,ダ,1800,３歳未勝利
2026.1.17,中2,10,ユイノナナフシギ,,牡,54.0,▲石神道,美浦深山,472,-2,ダ,1800,３歳未勝利
2026.1.17,中2,11,パワポケウォーズ,,牡,57.0,小林凌,美浦大和田,430,2,ダ,1800,３歳未勝利
2026.1.17,中2,12,モリインビクタス,,牡,54.0,▲遠藤,美浦伊藤伸,476,0,ダ,1800,３歳未勝利
2026.1.17,中2,13,ウリズンベー,,牡,57.0,横山武,美浦萩原,470,2,ダ,1800,３歳未勝利
2026.1.17,中2,14,ショウナンバーボン,,牡,57.0,戸崎圭,美浦加藤士,464,4,ダ,1800,３歳未勝利
2026.1.17,中2,15,ツウキンカイソク,,牡,57.0,菅原明,美浦岩戸,458,0,ダ,1800,３歳未勝利
2026.1.17,中2,16,シャトーベスト,,牡,57.0,原田和,美浦蛯名利,506,-16,ダ,1800,３歳未勝利
2026.1.17,中3,1,エッジランナー,,牡,57.0,松岡,美浦戸田,444,0,ダ,1800,３歳新馬
2026.1.17,中3,2,エメラルファイン,,牡,54.0,▲上里,美浦勢司,486,0,ダ,1800,３歳新馬
2026.1.17,中3,3,サイモングリーマン,,牡,57.0,丸山,美浦根本,488,0,ダ,1800,３歳新馬
