日付S,場 R,馬番,馬名S,馬ID,性別,斤量,騎手,調教師,馬体重,馬体重増減,芝ダ,距離,クラス
2026.7.5,福1,1,マネーマネー,,牝,55.0,武藤,美浦稲垣,424,24,ダ,1700,３歳未勝利
2026.7.5,福1,2,ドナソラーレ,,牝,55.0,杉原,美浦池上,428,0,ダ,1700,３歳未勝利
2026.7.5,福1,3,ナックレジーナ,,牝,55.0,吉田豊,美浦小野,494,0,ダ,1700,３歳未勝利
2026.7.5,福1,4,オーシャンミューズ,,牝,52.0,▲石神道,美浦堀内,444,0,ダ,1700,３歳未勝利
2026.7.5,福1,5,ペールデュクラン,,牝,55.0,菊沢,美浦菊沢,452,-8,ダ,1700,３歳未勝利
2026.7.5,福1,6,リトルベルタ,,牝,55.0,野中,美浦矢嶋,510,0,ダ,1700,３歳未勝利
2026.7.5,福1,7,アンジュリオ,,牝,52.0,▲佐藤,美浦高橋文,466,-2,ダ,1700,３歳未勝利
2026.7.5,福1,8,オリエンタルガール,,牝,52.0,▲石田,美浦相沢,376,-6,ダ,1700,３歳未勝利
2026.7.5,福1,9,デルマツルギ,,牝,55.0,菅原隆,美浦蛯名利,486,12,ダ,1700,３歳未勝利
2026.7.5,福1,10,オウケンハニー,,牝,55.0,木幡巧,美浦岩戸,454,0,ダ,1700,３歳未勝利
2026.7.5,福1,11,デルマザオウ,,牝,55.0,小崎,美浦松山,490,-2,ダ,1700,３歳未勝利
2026.7.5,福1,12,マイトリックスター,,牝,55.0,原,美浦和田勇,436,6,ダ,1700,３歳未勝利
2026.7.5,福1,13,バーヴァンシー,,牝,55.0,横山典,美浦村田,472,0,ダ,1700,３歳未勝利
2026.7.5,福1,14,ミュージックレイン,,牝,55.0,江田照,美浦村田,448,2,ダ,1700,３歳未勝利
2026.7.5,福1,15,バイアブランカ,,牝,55.0,津村,美浦古賀慎,504,0,ダ,1700,３歳未勝利
2026.7.5,福2,1,ハルカオル,,牝,55.0,木幡巧,美浦千葉,466,-12,芝,1200,３歳未勝利
2026.7.5,福2,2,ダイユウルミナス,,牝,52.0,▲佐藤,美浦松永康,424,12,芝,1200,３歳未勝利
2026.7.5,福2,3,ニシノタチアナ,,牝,55.0,丸山,美浦清水英,368,-2,芝,1200,３歳未勝利
2026.7.5,福2,4,セイウンプーパ,,牝,55.0,荻野極,美浦奥平,418,-10,芝,1200,３歳未勝利
2026.7.5,福2,5,ホカミテダメ,,牝,55.0,丸田,美浦田中勝,470,14,芝,1200,３歳未勝利
2026.7.5,福2,6,ネオアンボウ,,牡,54.0,▲上里,美浦松尾,536,-2,芝,1200,３歳未勝利
2026.7.5,福2,7,トウシンラヴ,,牝,55.0,三浦,美浦高柳瑞,452,6,芝,1200,３歳未勝利
2026.7.5,福2,8,ゴールドパレード,,牡,54.0,▲石神道,美浦天間,472,-8,芝,1200,３歳未勝利
2026.7.5,福2,9,ブロークンハート,,牝,52.0,▲石田,美浦菊沢,404,-2,芝,1200,３歳未勝利
2026.7.5,福2,10,エンジェルサン,,牡,57.0,柴田大,美浦矢嶋,484,-4,芝,1200,３歳未勝利
2026.7.5,福2,11,シルバーアックス,,牡,57.0,横山典,美浦村田,450,-10,芝,1200,３歳未勝利
2026.7.5,福2,12,ケイベエ,,牡,57.0,木幡育,美浦杉浦,452,-4,芝,1200,３歳未勝利
2026.7.5,福2,13,ドリーマーズ,,牝,55.0,原,美浦伊藤大,420,-4,芝,1200,３歳未勝利
2026.7.5,福2,14,ハッピースーニャ,,牝,55.0,津村,美浦鈴木伸,470,-10,芝,1200,３歳未勝利
2026.7.5,福2,15,ローズバラード,,牝,55.0,小崎,美浦深山,388,-10,芝,1200,３歳未勝利
2026.7.5,福2,16,メインテーマ,,牝,55.0,菊沢,美浦小手川,,,芝,1200,３歳未勝利
2026.7.5,福3,1,ロマンス,,牝,55.0,石橋脩,美浦上原佑,426,4,芝,1800,３歳未勝利
2026.7.5,福3,2,ラスタリア,,牡,57.0,菊沢,美浦岩戸,462,10,芝,1800,３歳未勝利
2026.7.5,福3,3,ベルランコントル,,牝,55.0,原,美浦伊藤大,454,2,芝,1800,３歳未勝利
2026.7.5,福3,4,セシルブリュネ,,牝,55.0,荻野極,美浦栗田,402,6,芝,1800,３歳未勝利
2026.7.5,福3,5,マーゴットドライ,,セ,57.0,木幡巧,美浦伊坂,432,-12,芝,1800,３歳未勝利
2026.7.5,福3,6,ダイシンパルス,,牡,57.0,江田照,美浦小笠,472,0,芝,1800,３歳未勝利
2026.7.5,福3,7,シュガーシャック,,牡,57.0,杉原誠人,美浦古賀慎,486,10,芝,1800,３歳未勝利
2026.7.5,福3,8,ブラッククラウズ,,牡,57.0,三浦,美浦尾関,468,0,芝,1800,３歳未勝利
2026.7.5,福3,9,プラネタリーアワー,,牝,55.0,小崎,美浦加藤征,442,0,芝,1800,３歳未勝利
2026.7.5,福3,10,ソロンゴ,,牝,55.0,木幡育,美浦高橋文,452,20,芝,1800,３歳未勝利
2026.7.5,福3,11,ワインダークシー,,牡,57.0,津村,美浦中舘,428,-2,芝,1800,３歳未勝利
