日付S,場 R,馬番,馬名S,馬ID,性別,斤量,騎手,調教師,馬体重,馬体重増減,芝ダ,距離,クラス
2026.7.25,新1,1,コスモバルムンク,,牡,55.0,菊沢,美浦小手川,432,-4,芝,1800,２歳未勝利
2026.7.25,新1,2,フルーツバスケット,,牡,55.0,吉田豊,栗東前川,458,2,芝,1800,２歳未勝利
2026.7.25,新1,3,ソラニワラエバ,,牡,53.0,◇今村,美浦武井,468,10,芝,1800,２歳未勝利
2026.7.25,新1,4,コルサロ,,牡,55.0,杉原,栗東中竹,440,2,芝,1800,２歳未勝利
2026.7.25,新1,5,トリプティーク,,牝,55.0,柴田大,美浦和田雄,440,2,芝,1800,２歳未勝利
2026.7.25,新1,6,ローグアン,,牡,55.0,石川,美浦浅利,474,4,芝,1800,２歳未勝利
2026.7.25,新1,7,ノシェリー,,牡,55.0,原,美浦鈴木慎,466,-4,芝,1800,２歳未勝利
2026.7.25,新1,8,ランドジャイアンツ,,牡,55.0,大野,美浦本間,492,-6,芝,1800,２歳未勝利
2026.7.25,新1,9,ワンコール,,牝,55.0,石橋脩,美浦牧,450,-2,芝,1800,２歳未勝利
2026.7.25,新1,10,レゾルーティオ,,牡,55.0,斎藤,栗東坂口,452,4,芝,1800,２歳未勝利
2026.7.25,新2,1,エレクトス,,牡,55.0,石川,美浦池上,456,0,ダ,1200,２歳新馬
2026.7.25,新2,2,リコルディオーロ,,牡,52.0,▲佐藤,美浦伊藤圭,442,0,ダ,1200,２歳新馬
2026.7.25,新2,3,モミスケ,,牡,55.0,武藤,美浦水野,444,0,ダ,1200,２歳新馬
2026.7.25,新2,4,ピウモッソ,,牝,55.0,斎藤,美浦斎藤誠,446,0,ダ,1200,２歳新馬
2026.7.25,新2,5,ランズエンド,,牡,53.0,◇今村,栗東野中,470,0,ダ,1200,２歳新馬
2026.7.25,新2,6,ユイチャンファイト,,牝,55.0,菊沢,美浦竹内,410,0,ダ,1200,２歳新馬
2026.7.25,新2,7,サザンキンレンカ,,牝,55.0,丸山,美浦畠山,438,0,ダ,1200,２歳新馬
2026.7.25,新2,8,アレックスケー,,牡,55.0,石橋脩,美浦小野,454,0,ダ,1200,２歳新馬
2026.7.25,新2,9,スクワミッシュ,,牝,55.0,戸崎圭,栗東梅田,438,0,ダ,1200,２歳新馬
2026.7.25,新2,10,ライヴバーボン,,牝,52.0,▲石田,美浦尾形,454,0,ダ,1200,２歳新馬
2026.7.25,新2,11,イニシャルポイント,,牝,55.0,原,美浦高木,442,0,ダ,1200,２歳新馬
2026.7.25,新2,12,ミカミッチー,,牝,55.0,横山典,美浦田中勝,448,0,ダ,1200,２歳新馬
2026.7.25,新2,13,オンアロール,,牝,55.0,田口,栗東高野,456,0,ダ,1200,２歳新馬
2026.7.25,新2,14,コパノフラメンコ,,牝,55.0,柴田大,美浦上原博,448,0,ダ,1200,２歳新馬
2026.7.25,新3,1,トルタパスカリーナ,,牝,55.0,戸崎圭,美浦黒岩,460,0,芝,1600,２歳新馬
2026.7.25,新3,2,リーベラーリア,,牝,53.0,◇今村,栗東高橋忠,436,0,芝,1600,２歳新馬
2026.7.25,新3,3,スターマイン,,牝,55.0,菊沢,美浦大竹,444,0,芝,1600,２歳新馬
2026.7.25,新3,4,セプタードアイル,,牝,55.0,荻野極,美浦矢嶋,460,0,芝,1600,２歳新馬
2026.7.25,新3,5,サトノスプレマシー,,牝,55.0,田辺,美浦久保田,440,0,芝,1600,２歳新馬
2026.7.25,新3,6,スイートアリッサム,,牝,55.0,杉原,美浦大和田,432,0,芝,1600,２歳新馬
2026.7.25,新3,7,プレママドンナ,,牝,55.0,丸山,美浦手塚徳,428,0,芝,1600,２歳新馬
2026.7.25,新3,8,マリアンデール,,牝,55.0,斎藤,栗東中村,438,0,芝,1600,２歳新馬
2026.7.25,新4,1,サンマルオブウォー,,牡,54.0,▲上里,美浦中川,442,0,ダ,1200,３歳未勝利
2026.7.25,新4,2,パチクリベスクリ,,牡,57.0,丸田,美浦清水英,450,-8,ダ,1200,３歳未勝利
2026.7.25,新4,3,プリプリプリン,,牝,52.0,▲佐藤,美浦伊藤圭,488,2,ダ,1200,３歳未勝利
2026.7.25,新4,4,スノーランス,,牝,55.0,石橋脩,美浦上原佑,464,0,ダ,1200,３歳未勝利
2026.7.25,新4,5,シャインネージュ,,牝,51.0,★谷原,美浦小野,478,0,ダ,1200,３歳未勝利
2026.7.25,新4,6,ナーシリーヤ,,牡,57.0,松岡,美浦田中剛,488,8,ダ,1200,３歳未勝利
2026.7.25,新4,7,セイウンヤオヨロズ,,牡,55.0,△石神道,美浦上原博,468,2,ダ,1200,３歳未勝利
2026.7.25,新4,8,メイショウバリスタ,,牡,57.0,菊沢,美浦西田,438,-2,ダ,1200,３歳未勝利
2026.7.25,新4,9,ロジザボード,,牝,55.0,斎藤,美浦古賀慎,482,-8,ダ,1200,３歳未勝利
2026.7.25,新4,10,スウィートラキ,,牝,55.0,木幡初,美浦堀内,444,-2,ダ,1200,３歳未勝利
2026.7.25,新4,11,スウェーバック,,牝,55.0,野中,美浦天間,432,-4,ダ,1200,３歳未勝利
2026.7.25,新4,12,ジョイベル,,牝,55.0,木幡育,美浦本間,450,-2,ダ,1200,３歳未勝利
2026.7.25,新4,13,フジテンクウ,,牝,52.0,▲石田,美浦竹内,452,-2,ダ,1200,３歳未勝利
