日付S,場 R,馬番,馬名S,馬ID,性別,斤量,騎手,調教師,馬体重,馬体重増減,芝ダ,距離,クラス
2026.6.27,福1,1,グラヴィテ,,牝,58.0,黒岩,栗東藤野,496,8,障,2750,３歳以上障害未勝利
2026.6.27,福1,2,ナチュラルリバー,,牡,60.0,高田,栗東宮地,484,-6,障,2750,３歳以上障害未勝利
2026.6.27,福1,3,ワールドシリーズ,,牡,60.0,中村,栗東秋山,476,4,障,2750,３歳以上障害未勝利
2026.6.27,福1,4,バラジ,,セ,60.0,小牧加,栗東井上,498,-4,障,2750,３歳以上障害未勝利
2026.6.27,福1,5,ディベルティスマン,,牡,60.0,伴,美浦菊沢,514,-6,障,2750,３歳以上障害未勝利
2026.6.27,福1,6,セキテイオー,,牡,60.0,金子,美浦田中剛,482,0,障,2750,３歳以上障害未勝利
2026.6.27,福1,7,クロライナ,,セ,60.0,五十嵐,美浦室井,486,-10,障,2750,３歳以上障害未勝利
2026.6.27,福1,8,エンジョイドライブ,,牡,60.0,難波,栗東宮本,472,8,障,2750,３歳以上障害未勝利
2026.6.27,福1,9,キュピドン,,牡,60.0,森一,栗東森秀,512,0,障,2750,３歳以上障害未勝利
2026.6.27,福1,10,ブライテストドーン,,セ,57.0,▲小林凌,美浦田島,516,8,障,2750,３歳以上障害未勝利
2026.6.27,福1,11,アスクアットバット,,セ,60.0,田村,栗東加藤公,486,14,障,2750,３歳以上障害未勝利
2026.6.27,福1,12,オーサムストローク,,牡,60.0,草野,美浦伊藤圭,448,-6,障,2750,３歳以上障害未勝利
2026.6.27,福1,13,トラマンダーレ,,セ,57.0,▲坂口,美浦浅利,500,-8,障,2750,３歳以上障害未勝利
2026.6.27,福1,14,フォルガイル,,牡,57.0,▲水沼,美浦加藤和,446,6,障,2750,３歳以上障害未勝利
2026.6.27,福2,1,ルプルミエラムール,,牝,55.0,小崎,美浦加藤征,466,2,ダ,1700,３歳未勝利
2026.6.27,福2,2,リマーカブル,,牡,54.0,▲上里,美浦加藤和,552,-2,ダ,1700,３歳未勝利
2026.6.27,福2,3,アオイミズホ,,牡,57.0,戸崎圭,美浦古賀慎,524,8,ダ,1700,３歳未勝利
2026.6.27,福2,4,コパノミラノ,,牡,57.0,柴田大,美浦上原博,484,-4,ダ,1700,３歳未勝利
2026.6.27,福2,5,カンフーヒーロー,,牡,54.0,▲水沼,美浦的場,480,2,ダ,1700,３歳未勝利
2026.6.27,福2,6,タイセイジェンマ,,セ,57.0,野中,美浦松尾,502,0,ダ,1700,３歳未勝利
2026.6.27,福2,7,アーティキュレート,,牡,57.0,菊沢,美浦手塚久,494,-2,ダ,1700,３歳未勝利
2026.6.27,福2,8,スクイーズアウト,,牡,57.0,原,美浦黒岩,486,-14,ダ,1700,３歳未勝利
2026.6.27,福2,9,フロムドーン,,牡,54.0,▲石田,美浦新開,496,0,ダ,1700,３歳未勝利
2026.6.27,福2,10,マーゴットライズ,,牡,57.0,木幡巧,美浦伊坂,482,-2,ダ,1700,３歳未勝利
2026.6.27,福2,11,ナツミカンチャン,,牝,55.0,石川,美浦千葉,464,0,ダ,1700,３歳未勝利
2026.6.27,福2,12,キタノタイキ,,牡,57.0,小林脩,美浦奥平,442,6,ダ,1700,３歳未勝利
2026.6.27,福2,13,リゼクールグレー,,牡,57.0,吉田豊,美浦高橋文,468,4,ダ,1700,３歳未勝利
2026.6.27,福2,14,テンオンスゴールド,,牡,57.0,江田照,美浦田中剛,466,-6,ダ,1700,３歳未勝利
2026.6.27,福2,15,スターツトゥデイ,,牡,57.0,坂井,美浦大竹,486,-4,ダ,1700,３歳未勝利
2026.6.27,福3,1,コウユーニポポニコ,,牝,50.0,▲石田,美浦竹内,458,2,ダ,1700,３歳以上１勝クラス
2026.6.27,福3,2,ラフレードピエル,,牡,55.0,江田照,美浦萱野,444,-4,ダ,1700,３歳以上１勝クラス
2026.6.27,福3,3,ジェネラスキング,,牡,55.0,ゴンサルベ,美浦久保田,486,6,ダ,1700,３歳以上１勝クラス
2026.6.27,福3,4,タイセツナヒ,,牡,55.0,原,美浦杉浦,464,-8,ダ,1700,３歳以上１勝クラス
2026.6.27,福3,5,ナリノシャーウッド,,牡,55.0,菊沢,美浦田村,470,0,ダ,1700,３歳以上１勝クラス
2026.6.27,福3,6,サムシングニュー,,牡,52.0,▲石神道,美浦鹿戸,480,6,ダ,1700,３歳以上１勝クラス
2026.6.27,福3,7,ブルーユンチェリー,,牝,56.0,武藤,美浦水野,448,-10,ダ,1700,３歳以上１勝クラス
2026.6.27,福3,8,ガムラスタン,,牡,55.0,小林脩,美浦斎藤誠,532,0,ダ,1700,３歳以上１勝クラス
2026.6.27,福3,9,プロスペクトパーク,,牡,58.0,坂井,美浦高柳瑞,506,-8,ダ,1700,３歳以上１勝クラス
2026.6.27,福3,10,ショウナンパトス,,牡,55.0,津村,美浦中舘,462,10,ダ,1700,３歳以上１勝クラス
2026.6.27,福3,11,キタノブレイク,,牡,55.0,▲上里,美浦本間,478,-2,ダ,1700,３歳以上１勝クラス
2026.6.27,福3,12,ラルフテソーロ,,牡,58.0,木幡巧,美浦伊藤圭,508,-8,ダ,1700,３歳以上１勝クラス
2026.6.27,福3,13,クラウンフリード,,牡,55.0,▲佐藤,美浦天間,440,-25,ダ,1700,３歳以上１勝クラス
2026.6.27,福3,14,コパノエイダン,,牡,55.0,柴田大,美浦上原博,482,2,ダ,1700,３歳以上１勝クラス
2026.6.27,福3,15,パータリプトラ,,セ,55.0,北村宏,美浦武井,476,4,ダ,1700,３歳以上１勝クラス
2026.6.27,福4,1,トモジャシック,,牡,60.0,難波,栗東大根田,476,-4,障,2750,３歳以上障害ＯＰ(OP)
2026.6.27,福4,2,ブラックバラード,,セ,60.0,伴,美浦嘉藤,452,-6,障,2750,３歳以上障害ＯＰ(OP)
2026.6.27,福4,3,ミレニアムヒロイン,,牝,58.0,草野,美浦池上,462,0,障,2750,３歳以上障害ＯＰ(OP)
2026.6.27,福4,4,ゴールドブリーズ,,牡,57.0,▲水沼,美浦深山,510,-2,障,2750,３歳以上障害ＯＰ(OP)
2026.6.27,福4,5,シャンドゥレール,,セ,57.0,▲坂口,美浦手塚徳,496,-4,障,2750,３歳以上障害ＯＰ(OP)
2026.6.27,福4,6,コンバスチョン,,セ,60.0,森一,美浦伊藤圭,500,0,障,2750,３歳以上障害ＯＰ(OP)
2026.6.27,福4,7,ウォーターリーダー,,牡,60.0,高田,栗東藤野,454,2,障,2750,３歳以上障害ＯＰ(OP)
2026.6.27,福4,8,ヴェールランス,,牡,60.0,五十嵐,美浦田村,450,-4,障,2750,３歳以上障害ＯＰ(OP)
2026.6.27,福4,9,アメリカンピース,,セ,60.0,小坂,栗東東田,460,-2,障,2750,３歳以上障害ＯＰ(OP)
2026.6.27,福4,10,ローンウルフ,,牡,60.0,大江圭,美浦武市,484,0,障,2750,３歳以上障害ＯＰ(OP)
2026.6.27,福5,1,エバーメテオ,,牡,55.0,津村,美浦和田郎,440,0,芝,1200,２歳新馬
2026.6.27,福5,2,エニシングゴース,,牡,55.0,石橋脩,美浦和田雄,476,0,芝,1200,２歳新馬
2026.6.27,福5,3,アンムート,,牝,55.0,坂井,栗東奥村豊,426,0,芝,1200,２歳新馬
2026.6.27,福5,4,アイデアルカット,,牡,55.0,嶋田,美浦手塚徳,432,0,芝,1200,２歳新馬
2026.6.27,福5,5,スウィット,,牡,55.0,木幡巧,美浦牧,458,0,芝,1200,２歳新馬
2026.6.27,福5,6,エーアイクワイ,,牡,55.0,石川,美浦相沢,478,0,芝,1200,２歳新馬
2026.6.27,福5,7,シャインフォード,,牡,55.0,武藤,美浦武藤,442,0,芝,1200,２歳新馬
2026.6.27,福5,8,ブラックナザレ,,牡,55.0,小崎,美浦佐藤吉,470,0,芝,1200,２歳新馬
2026.6.27,福5,9,ショウナンハーヴェ,,牡,55.0,ゴンサルベ,美浦中舘,434,0,芝,1200,２歳新馬
2026.6.27,福5,10,モーモーゼロ,,牡,52.0,▲石田,美浦石栗,458,0,芝,1200,２歳新馬
2026.6.27,福5,11,セイウントレジャ,,牡,55.0,野中,美浦杉浦,452,0,芝,1200,２歳新馬
2026.6.27,福6,1,レオライジング,,牝,55.0,原,美浦杉浦,468,0,ダ,1150,２歳新馬
2026.6.27,福6,2,エランヴィータ,,牡,55.0,三浦,美浦柄崎,502,0,ダ,1150,２歳新馬
2026.6.27,福6,3,ラヴァブルロマン,,牝,55.0,菊沢,美浦伊藤圭,444,0,ダ,1150,２歳新馬
2026.6.27,福6,4,パレスラン,,牡,55.0,石川,美浦手塚久,452,0,ダ,1150,２歳新馬
2026.6.27,福6,5,エコロメジャー,,牡,55.0,戸崎圭,栗東牧浦,460,0,ダ,1150,２歳新馬
2026.6.27,福6,6,オルッス,,牡,55.0,嶋田,美浦伊坂,432,0,ダ,1150,２歳新馬
2026.6.27,福6,7,セイウンガジュマル,,牡,55.0,木幡巧,美浦牧,540,0,ダ,1150,２歳新馬
2026.6.27,福6,8,ソラティオ,,牝,55.0,柴田大,美浦粕谷,414,0,ダ,1150,２歳新馬
2026.6.27,福6,9,ムーンベリル,,牝,55.0,坂井,栗東西村,466,0,ダ,1150,２歳新馬
2026.6.27,福6,10,マリノエスプレッソ,,牝,55.0,横山典,美浦村田,426,0,ダ,1150,２歳新馬
2026.6.27,福7,1,アースヴィンチ,,牝,55.0,丸山,美浦蛯名正,460,8,芝,1800,３歳未勝利
2026.6.27,福7,2,モーブプリエール,,牝,55.0,原,美浦鈴木慎,430,-2,芝,1800,３歳未勝利
2026.6.27,福7,3,アッパーウォーター,,牝,55.0,坂井,美浦千葉,416,-2,芝,1800,３歳未勝利
2026.6.27,福7,4,グレイスルーラー,,牝,52.0,▲佐藤,美浦尾形,452,-6,芝,1800,３歳未勝利
2026.6.27,福7,5,エバーシャンティ,,牝,55.0,戸崎圭,美浦久保田,428,-6,芝,1800,３歳未勝利
2026.6.27,福7,6,イバラヒメ,,牝,52.0,▲石田,美浦新開,442,8,芝,1800,３歳未勝利
2026.6.27,福7,7,ラグアイリータ,,牝,55.0,津村,美浦岩戸,422,-10,芝,1800,３歳未勝利
2026.6.27,福7,8,フォセットジェンヌ,,牝,55.0,ゴンサルベ,美浦和田勇,422,10,芝,1800,３歳未勝利
2026.6.27,福7,9,ミダレセツゲツカ,,牝,52.0,▲上里,美浦清水英,392,-8,芝,1800,３歳未勝利
2026.6.27,福7,10,ウインスフェーン,,牝,55.0,松岡,美浦畠山,424,-2,芝,1800,３歳未勝利
2026.6.27,福7,11,レイナデルアイレ,,牝,55.0,嶋田,美浦矢嶋,436,2,芝,1800,３歳未勝利
2026.6.27,福7,12,セルレーヴ,,牝,55.0,北村宏,美浦室井,484,14,芝,1800,３歳未勝利
2026.6.27,福7,13,エリオステモン,,牝,55.0,武藤,美浦柄崎,410,0,芝,1800,３歳未勝利
2026.6.27,福7,14,フロリメル,,牝,55.0,小崎,美浦加藤征,470,0,芝,1800,３歳未勝利
2026.6.27,福7,15,ラングロワブリッジ,,牝,55.0,吉田豊,美浦戸田,490,0,芝,1800,３歳未勝利
