日付S,場 R,馬番,馬名S,馬ID,性別,斤量,騎手,調教師,馬体重,馬体重増減,芝ダ,距離,クラス
2026.4.26,東1,1,ハクサンミレイ,,牝,55.0,大野,美浦松山,460,-10,ダ,1400,３歳未勝利
2026.4.26,東1,2,ルージュリヴィエラ,,牝,55.0,ディー,美浦嘉藤,400,-8,ダ,1400,３歳未勝利
2026.4.26,東1,3,バーヴァンシー,,牝,55.0,荻野極,美浦村田,482,2,ダ,1400,３歳未勝利
2026.4.26,東1,4,マクシーン,,牝,55.0,長岡,美浦平岩,458,2,ダ,1400,３歳未勝利
2026.4.26,東1,5,マリノレーヴェ,,牝,55.0,佐々木,美浦鈴木慎,488,6,ダ,1400,３歳未勝利
2026.4.26,東1,6,ケイツープラ,,牝,55.0,原,美浦蛯名利,482,0,ダ,1400,３歳未勝利
2026.4.26,東1,7,ベルオーシャン,,牝,55.0,横山和,美浦柄崎,420,14,ダ,1400,３歳未勝利
2026.4.26,東1,8,グランマズドリーム,,牝,55.0,石橋脩,美浦田中勝,450,4,ダ,1400,３歳未勝利
2026.4.26,東1,9,オテンバプリンセス,,牝,55.0,松山,美浦加藤士,488,0,ダ,1400,３歳未勝利
2026.4.26,東1,10,ラヴィプランドール,,牝,55.0,小林脩,美浦浅利,398,-6,ダ,1400,３歳未勝利
2026.4.26,東1,11,レイナデルアイレ,,牝,55.0,津村,美浦矢嶋,434,0,ダ,1400,３歳未勝利
2026.4.26,東1,12,ワイルドミュール,,牝,55.0,三浦,美浦鹿戸,,,ダ,1400,３歳未勝利
2026.4.26,東1,13,キタノトゥシャイン,,牝,55.0,木幡初,美浦粕谷,474,-2,ダ,1400,３歳未勝利
2026.4.26,東1,14,ティアップシャイン,,牝,55.0,江田照,美浦奥平,442,-12,ダ,1400,３歳未勝利
2026.4.26,東1,15,ハンナパール,,牝,55.0,吉田豊,美浦小野,440,8,ダ,1400,３歳未勝利
2026.4.26,東1,16,カーボフリオ,,牝,52.0,▲佐藤,美浦高木,446,0,ダ,1400,３歳未勝利
2026.4.26,東2,1,キチロクゴール,,牡,54.0,▲佐藤,美浦松永康,494,0,ダ,1600,３歳未勝利
2026.4.26,東2,2,イーガービーバー,,牡,57.0,酒井,美浦和田郎,466,-6,ダ,1600,３歳未勝利
2026.4.26,東2,3,スピニンググローブ,,牡,57.0,佐々木,美浦黒岩,494,2,ダ,1600,３歳未勝利
2026.4.26,東2,4,モロノカガヤキ,,牡,57.0,津村,美浦林,480,-2,ダ,1600,３歳未勝利
2026.4.26,東2,5,ロードクローザー,,牡,57.0,横山和,美浦田村,526,4,ダ,1600,３歳未勝利
2026.4.26,東2,6,エターナルホープ,,牡,57.0,原,美浦鈴木慎,504,-12,ダ,1600,３歳未勝利
2026.4.26,東2,7,ホウオウパーソンズ,,牡,57.0,荻野極,美浦蛯名正,464,-12,ダ,1600,３歳未勝利
2026.4.26,東2,8,ピョイットハレルヤ,,牝,55.0,松若,栗東浜田,458,2,ダ,1600,３歳未勝利
2026.4.26,東2,9,マナイアカラニ,,牡,57.0,北村宏,美浦田中勝,484,8,ダ,1600,３歳未勝利
2026.4.26,東2,10,シャトーベスト,,牡,57.0,原田和,美浦蛯名利,508,2,ダ,1600,３歳未勝利
2026.4.26,東2,11,マテンロウストーム,,牡,57.0,田辺,美浦久保田,492,2,ダ,1600,３歳未勝利
2026.4.26,東2,12,サトノフェンサー,,牡,57.0,三浦,美浦高柳瑞,538,2,ダ,1600,３歳未勝利
2026.4.26,東2,13,マクローリン,,牡,57.0,小崎,栗東加藤公,462,-2,ダ,1600,３歳未勝利
2026.4.26,東2,14,ホグホグナナハン,,牡,57.0,木幡巧,美浦小笠,464,0,ダ,1600,３歳未勝利
2026.4.26,東3,1,ユイノカタリベ,,牡,57.0,木幡初,美浦竹内,512,-2,ダ,1300,３歳未勝利
2026.4.26,東3,2,ジャンプストリート,,牡,57.0,松岡,美浦伊藤伸,438,7,ダ,1300,３歳未勝利
2026.4.26,東3,3,ガヤーズベース,,牡,57.0,荻野極,美浦田中勝,470,2,ダ,1300,３歳未勝利
2026.4.26,東3,4,プリンセスダーコ,,牝,55.0,原,美浦清水英,456,0,ダ,1300,３歳未勝利
2026.4.26,東3,5,ジュンサク,,牝,55.0,木幡巧,美浦伊坂,444,-6,ダ,1300,３歳未勝利
2026.4.26,東3,6,ダイバーシティ,,牡,57.0,伊藤,美浦金成,578,-6,ダ,1300,３歳未勝利
2026.4.26,東3,7,タケウチビー,,牝,55.0,長岡,美浦深山,416,18,ダ,1300,３歳未勝利
2026.4.26,東3,8,ジャガーライズ,,牡,54.0,▲佐藤,美浦伊藤圭,464,-10,ダ,1300,３歳未勝利
2026.4.26,東3,9,ヴィスクレス,,牡,57.0,津村,美浦矢嶋,448,-12,ダ,1300,３歳未勝利
