日付S,場 R,馬番,馬名S,性別,斤量,騎手,馬体重,馬体重増減,芝ダ,距離,クラス
2026.5.31,東1,1,ベアエクスプレス,牝,55.0,松岡,482,-2,ダ,1600,３歳未勝利
2026.5.31,東1,2,アーティラリー,牝,55.0,ゴンサルベ,492,12,ダ,1600,３歳未勝利
2026.5.31,東1,3,レディソフィア,牝,53.0,△舟山,438,-4,ダ,1600,３歳未勝利
2026.5.31,東1,4,トラストレガート,牝,55.0,菅原明,456,2,ダ,1600,３歳未勝利
2026.5.31,東1,5,エリカビアリッツ,牝,55.0,レーン,450,-4,ダ,1600,３歳未勝利
2026.5.31,東1,6,フローレスカラーズ,牝,52.0,▲佐藤,440,0,ダ,1600,３歳未勝利
2026.5.31,東1,7,キミガハマ,牝,55.0,丹内,466,2,ダ,1600,３歳未勝利
2026.5.31,東1,8,パレホ,牝,55.0,横山琉,510,6,ダ,1600,３歳未勝利
2026.5.31,東1,9,エフハリスト,牝,55.0,横山和,506,-6,ダ,1600,３歳未勝利
2026.5.31,東1,10,ヤマニンジェンナ,牝,55.0,野中,404,0,ダ,1600,３歳未勝利
2026.5.31,東1,11,サマースプラッシュ,牝,55.0,菊沢,496,2,ダ,1600,３歳未勝利
2026.5.31,東1,12,カスターニエ,牝,55.0,原,426,4,ダ,1600,３歳未勝利
2026.5.31,東1,13,ミツカネルナ,牝,52.0,▲小林美,386,-6,ダ,1600,３歳未勝利
2026.5.31,東1,14,バーヴァンシー,牝,55.0,戸崎圭,472,-4,ダ,1600,３歳未勝利
2026.5.31,東1,15,フレアリングベリー,牝,55.0,北村宏,452,-2,ダ,1600,３歳未勝利
2026.5.31,東1,16,ユーゲットミー,牝,55.0,柴田大,448,6,ダ,1600,３歳未勝利
2026.5.31,東2,1,ユニバーサルラヴ,牝,55.0,佐々木,434,4,ダ,1400,３歳未勝利
2026.5.31,東2,2,ジャメビュ,牝,52.0,▲遠藤,420,2,ダ,1400,３歳未勝利
2026.5.31,東2,3,セイカユウヒ,牡,57.0,丹内,410,-1,ダ,1400,３歳未勝利
2026.5.31,東2,4,キリミツ,牡,57.0,石橋脩,446,4,ダ,1400,３歳未勝利
2026.5.31,東2,5,グランマエストロ,牡,57.0,ルメール,496,4,ダ,1400,３歳未勝利
2026.5.31,東2,6,トワイライトビュー,牡,57.0,原,514,4,ダ,1400,３歳未勝利
2026.5.31,東2,7,ピュアクローム,牡,57.0,吉田豊,426,4,ダ,1400,３歳未勝利
2026.5.31,東2,8,カテドラルクォーツ,牡,57.0,菊沢,476,-4,ダ,1400,３歳未勝利
2026.5.31,東2,9,ショウナンタヅナ,牡,57.0,津村,466,-10,ダ,1400,３歳未勝利
2026.5.31,東2,10,テラシエスタ,牡,57.0,木幡巧,460,2,ダ,1400,３歳未勝利
2026.5.31,東2,11,ホウオウライセンス,牡,57.0,横山武,498,4,ダ,1400,３歳未勝利
2026.5.31,東2,12,ビーストウォーズ,牡,55.0,△舟山,468,14,ダ,1400,３歳未勝利
2026.5.31,東2,13,ミラビリオン,牡,57.0,ゴンサルベ,486,0,ダ,1400,３歳未勝利
2026.5.31,東2,14,セランディア,牝,52.0,▲大久保,454,8,ダ,1400,３歳未勝利
2026.5.31,東2,15,タイヨウノユビワ,牝,55.0,横山琉,480,6,ダ,1400,３歳未勝利
2026.5.31,東2,16,ゴールデンボート,セ,57.0,江田照,452,2,ダ,1400,３歳未勝利
2026.5.31,東3,1,ピードモント,セ,57.0,岩田康,452,-6,ダ,1600,３歳未勝利
2026.5.31,東3,2,ブレイブシュガー,牡,57.0,吉田豊,474,0,ダ,1600,３歳未勝利
2026.5.31,東3,3,ティブロン,牡,57.0,横山琉,522,-6,ダ,1600,３歳未勝利
2026.5.31,東3,4,カシマライフウ,牡,57.0,松岡,478,6,ダ,1600,３歳未勝利
2026.5.31,東3,5,エッチェレンテ,牡,57.0,三浦,494,-2,ダ,1600,３歳未勝利
2026.5.31,東3,6,ヴァンデスペランス,牡,57.0,ゴンサルベ,478,2,ダ,1600,３歳未勝利
2026.5.31,東3,7,ブッチギレ,牡,57.0,丹内,470,2,ダ,1600,３歳未勝利
2026.5.31,東3,8,ウインルナロッサ,牡,54.0,▲遠藤,470,4,ダ,1600,３歳未勝利
2026.5.31,東3,9,ベアブルージュ,牡,57.0,木幡巧,468,0,ダ,1600,３歳未勝利
2026.5.31,東3,10,ベネファクター,牡,57.0,原,472,6,ダ,1600,３歳未勝利
2026.5.31,東3,11,スミレノハナ,牝,52.0,▲上里,444,-4,ダ,1600,３歳未勝利
2026.5.31,東3,12,フェスティヴハート,牝,55.0,柴田大,490,-4,ダ,1600,３歳未勝利
2026.5.31,東3,13,ゴットタレント,牡,57.0,杉原,454,-8,ダ,1600,３歳未勝利
2026.5.31,東3,14,アドマイヤウルトラ,牡,57.0,ディー,514,6,ダ,1600,３歳未勝利
2026.5.31,東3,15,モンスターラッシュ,牡,57.0,石川,498,4,ダ,1600,３歳未勝利
2026.5.31,東3,16,ヘヴンリーサイン,牡,54.0,▲石神道,452,-6,ダ,1600,３歳未勝利
2026.5.31,東4,1,ヤマニンルーバス,牝,55.0,横山典,,,芝,1600,３歳未勝利
2026.5.31,東4,2,ラウターユーベル,牡,57.0,小林脩,,,芝,1600,３歳未勝利
2026.5.31,東4,3,クインズサクラ,牝,52.0,▲遠藤,,,芝,1600,３歳未勝利
2026.5.31,東4,4,フューチャプライム,牝,55.0,津村,,,芝,1600,３歳未勝利
2026.5.31,東4,5,ウインアプローチ,牡,57.0,松岡,,,芝,1600,３歳未勝利
2026.5.31,東4,6,シンクシビリティ,牝,54.0,☆長浜,,,芝,1600,３歳未勝利
2026.5.31,東4,7,セリエンクーニゲン,牝,55.0,戸崎圭,,,芝,1600,３歳未勝利
2026.5.31,東4,8,ウッケン,牝,52.0,▲上里,,,芝,1600,３歳未勝利
2026.5.31,東4,9,メイアイリス,牝,52.0,▲石神道,,,芝,1600,３歳未勝利
2026.5.31,東4,10,スチールギターラグ,牝,55.0,三浦,,,芝,1600,３歳未勝利
2026.5.31,東4,11,フォーエバーラブ,牡,57.0,柴田大,,,芝,1600,３歳未勝利
2026.5.31,東4,12,トランスマーレ,牝,55.0,横山武,,,芝,1600,３歳未勝利
2026.5.31,東4,13,ヤマカンドリーミン,牡,57.0,ゴンサルベ,,,芝,1600,３歳未勝利
2026.5.31,東4,14,ルシアージュ,牝,55.0,丸山,,,芝,1600,３歳未勝利
2026.5.31,東4,15,ルージュダズリング,牝,55.0,横山琉,,,芝,1600,３歳未勝利
2026.5.31,東4,16,ゴールドフリーダム,セ,57.0,原,,,芝,1600,３歳未勝利
2026.5.31,東4,17,キャリアビジョン,牝,55.0,菊沢,,,芝,1600,３歳未勝利
2026.5.31,東4,18,トウシンライオット,牡,54.0,▲石田,,,芝,1600,３歳未勝利
