日付S,場 R,馬番,馬名S,馬ID,性別,斤量,騎手,調教師,馬体重,馬体重増減,芝ダ,距離,クラス
2026.3.22,中1,1,バル,,牡,57.0,菊沢,美浦武市,514,2,ダ,1200,３歳未勝利
2026.3.22,中1,2,シュートザムーン,,牡,57.0,野中,美浦伊藤伸,416,-2,ダ,1200,３歳未勝利
2026.3.22,中1,3,テルケンレンタッチ,,牡,57.0,木幡育,美浦勢司,522,0,ダ,1200,３歳未勝利
2026.3.22,中1,4,デスサイズ,,牡,57.0,石川,美浦小手川,462,2,ダ,1200,３歳未勝利
2026.3.22,中1,5,メイショウバリスタ,,牡,57.0,柴田善,美浦西田,448,0,ダ,1200,３歳未勝利
2026.3.22,中1,6,パンジー,,牝,55.0,黛,美浦深山,446,6,ダ,1200,３歳未勝利
2026.3.22,中1,7,ヨドノティアラ,,牝,55.0,津村,美浦矢嶋,448,0,ダ,1200,３歳未勝利
2026.3.22,中1,8,ウシャス,,牝,53.0,△長浜,美浦平岩,440,4,ダ,1200,３歳未勝利
2026.3.22,中1,9,マダックス,,牡,57.0,大野,美浦高柳瑞,454,-2,ダ,1200,３歳未勝利
2026.3.22,中1,10,ハンナパール,,牝,55.0,吉田豊,美浦小野,436,0,ダ,1200,３歳未勝利
2026.3.22,中1,11,シルバープレート,,セ,57.0,小林脩,美浦青木,464,8,ダ,1200,３歳未勝利
2026.3.22,中1,12,アクシズ,,牡,57.0,横山琉,美浦尾形,442,0,ダ,1200,３歳未勝利
2026.3.22,中1,13,チョウブク,,牡,54.0,▲石田,美浦新開,484,-6,ダ,1200,３歳未勝利
2026.3.22,中1,14,ワルキューレキング,,牡,57.0,原,美浦伊藤大,492,-4,ダ,1200,３歳未勝利
2026.3.22,中1,15,カンノンミッキー,,牡,57.0,木幡巧,美浦手塚徳,466,-10,ダ,1200,３歳未勝利
2026.3.22,中1,16,ヘルヴィッツ,,牡,57.0,横山和,美浦柄崎,456,-6,ダ,1200,３歳未勝利
2026.3.22,中2,1,プリンセスダーコ,,牝,55.0,原,美浦清水英,458,-12,ダ,1800,３歳未勝利
2026.3.22,中2,2,トーケンジンロック,,セ,55.0,△長浜,美浦小野,476,-6,ダ,1800,３歳未勝利
2026.3.22,中2,3,イーグルロック,,牡,57.0,石川,美浦相沢,560,-4,ダ,1800,３歳未勝利
2026.3.22,中2,4,ブッチギレ,,牡,57.0,横山和,美浦栗田,470,4,ダ,1800,３歳未勝利
2026.3.22,中2,5,ネオアカジョウ,,牡,54.0,▲上里,美浦松尾,496,8,ダ,1800,３歳未勝利
2026.3.22,中2,6,アイデアユー,,牡,57.0,戸崎圭,美浦鹿戸,474,-4,ダ,1800,３歳未勝利
2026.3.22,中2,7,ラヴィニアパーク,,牡,57.0,津村,美浦萩原,474,2,ダ,1800,３歳未勝利
2026.3.22,中2,8,レッツゴーファイト,,牡,57.0,小林脩,美浦伊藤伸,460,-4,ダ,1800,３歳未勝利
2026.3.22,中2,9,イサチルシーキング,,牡,57.0,石橋脩,美浦辻,530,-6,ダ,1800,３歳未勝利
2026.3.22,中2,10,クアッドフォルツァ,,牡,54.0,▲佐藤,美浦伊藤圭,474,0,ダ,1800,３歳未勝利
2026.3.22,中2,11,ラッキースウィッチ,,牡,57.0,荻野極,美浦蛯名正,476,-6,ダ,1800,３歳未勝利
2026.3.22,中2,12,ジュンノシャップ,,牝,52.0,▲遠藤,美浦高柳瑞,470,0,ダ,1800,３歳未勝利
2026.3.22,中2,13,ロジシーザ,,牡,57.0,岩田康,美浦古賀慎,486,-2,ダ,1800,３歳未勝利
2026.3.22,中2,14,ヴァルク,,牡,57.0,菊沢,美浦武市,466,-12,ダ,1800,３歳未勝利
2026.3.22,中2,15,シュタットパーク,,牡,57.0,木幡巧,美浦金成,472,2,ダ,1800,３歳未勝利
2026.3.22,中3,1,タイセイエキサイト,,牡,55.0,△長浜,美浦青木,512,3,ダ,1200,３歳１勝クラス
2026.3.22,中3,2,タカスタカスタカス,,牡,57.0,三浦,栗東藤原,506,-4,ダ,1200,３歳１勝クラス
2026.3.22,中3,3,ヒナノムサシ,,牡,57.0,柴田善,美浦本間,526,-6,ダ,1200,３歳１勝クラス
2026.3.22,中3,4,ジェイエルキャリア,,牡,57.0,吉田豊,美浦松尾,466,-10,ダ,1200,３歳１勝クラス
2026.3.22,中3,5,ビップムーラン,,牝,55.0,戸崎圭,美浦田島,468,8,ダ,1200,３歳１勝クラス
2026.3.22,中3,6,シエルライズ,,牡,57.0,菊沢,美浦小手川,504,6,ダ,1200,３歳１勝クラス
2026.3.22,中3,7,フュルスティン,,牝,52.0,▲上里,美浦加藤士,470,0,ダ,1200,３歳１勝クラス
2026.3.22,中3,8,ライヴレッドアイ,,牝,55.0,木幡巧,美浦牧,496,4,ダ,1200,３歳１勝クラス
2026.3.22,中3,9,モーゲンセン,,牡,57.0,ルメール,美浦斎藤誠,516,2,ダ,1200,３歳１勝クラス
2026.3.22,中3,10,ファンシーズ,,牝,55.0,横山琉,美浦尾形,440,-2,ダ,1200,３歳１勝クラス
2026.3.22,中3,11,エアサロメ,,牝,55.0,津村,美浦大竹,462,2,ダ,1200,３歳１勝クラス
2026.3.22,中3,12,エコロレーヴ,,牡,57.0,荻野極,栗東森秀,510,7,ダ,1200,３歳１勝クラス
2026.3.22,中3,13,クイーンレグナント,,牝,55.0,横山和,美浦嘉藤,448,8,ダ,1200,３歳１勝クラス
2026.3.22,中3,14,ルクスポップスター,,牡,57.0,石川,栗東西園翔,518,2,ダ,1200,３歳１勝クラス
2026.3.22,中4,1,ミレニアムヒロイン,,牝,58.0,石神深,美浦池上,458,0,障,2880,４歳以上障害未勝利
2026.3.22,中4,2,ゴーツウキリシマ,,牝,58.0,黒岩,栗東牧田,460,-2,障,2880,４歳以上障害未勝利
2026.3.22,中4,3,デスティネ,,牡,60.0,江田勇,美浦萱野,498,10,障,2880,４歳以上障害未勝利
2026.3.22,中4,4,クラウンウルル,,牡,59.0,小野寺,美浦菊川,492,16,障,2880,４歳以上障害未勝利
2026.3.22,中4,5,ベラトール,,牡,57.0,▲水沼,美浦西田,486,8,障,2880,４歳以上障害未勝利
2026.3.22,中4,6,クリアクォーツ,,牡,59.0,大江圭,美浦的場,476,0,障,2880,４歳以上障害未勝利
2026.3.22,中4,7,バラジ,,セ,60.0,小牧加,栗東井上,506,0,障,2880,４歳以上障害未勝利
2026.3.22,中4,8,タガノバルコス,,牡,60.0,高田,栗東秋山,492,2,障,2880,４歳以上障害未勝利
2026.3.22,中4,9,カルマンフィルター,,牡,60.0,草野,美浦戸田,496,4,障,2880,４歳以上障害未勝利
2026.3.22,中4,10,サラフィエル,,セ,60.0,上野,美浦鈴木慎,456,4,障,2880,４歳以上障害未勝利
2026.3.22,中4,11,コスモゴレアドール,,牡,57.0,▲土田,美浦秋本,456,22,障,2880,４歳以上障害未勝利
2026.3.22,中4,12,ハーバーライト,,牡,60.0,難波,栗東高橋忠,538,6,障,2880,４歳以上障害未勝利
2026.3.22,中4,13,レヴァントリ,,セ,59.0,五十嵐,美浦大和田,470,-2,障,2880,４歳以上障害未勝利
2026.3.22,中4,14,モズバンディット,,牡,60.0,中村,栗東中尾,456,0,障,2880,４歳以上障害未勝利
2026.3.22,中5,1,シヴィータス,,牝,55.0,横山和,美浦大竹,454,4,芝,1600,３歳未勝利
2026.3.22,中5,2,ジョブックボー,,牝,53.0,△長浜,美浦黒岩,442,0,芝,1600,３歳未勝利
2026.3.22,中5,3,ナックキャンドル,,牝,51.0,★谷原,美浦小野,466,0,芝,1600,３歳未勝利
2026.3.22,中5,4,カナルサンマルタン,,牝,55.0,ルメール,美浦宮田,448,4,芝,1600,３歳未勝利
2026.3.22,中5,5,スペシャルシラー,,牡,57.0,荻野極,美浦岩戸,468,-10,芝,1600,３歳未勝利
2026.3.22,中5,6,クールチェンジ,,牡,57.0,武藤,美浦和田郎,472,-8,芝,1600,３歳未勝利
2026.3.22,中5,7,ソアサージュ,,牝,55.0,吉田豊,美浦浅利,450,0,芝,1600,３歳未勝利
2026.3.22,中5,8,フォワードシャッセ,,牝,55.0,石川,美浦奥村武,470,-4,芝,1600,３歳未勝利
2026.3.22,中5,9,マイネルトレマーズ,,牡,57.0,津村,美浦手塚久,542,-6,芝,1600,３歳未勝利
2026.3.22,中5,10,カーヴドヴァン,,牝,55.0,菊沢,美浦大和田,466,14,芝,1600,３歳未勝利
2026.3.22,中5,11,アラムベイ,,牡,57.0,三浦,美浦池上,440,14,芝,1600,３歳未勝利
2026.3.22,中5,12,ニシノカルラ,,牡,57.0,横山琉,美浦和田勇,454,12,芝,1600,３歳未勝利
2026.3.22,中5,13,アクアマーズ,,牡,57.0,戸崎圭,美浦浅利,488,2,芝,1600,３歳未勝利
2026.3.22,中5,14,セイウンラピス,,セ,57.0,松岡,美浦村田,480,0,芝,1600,３歳未勝利
2026.3.22,中5,15,ベルバード,,牝,55.0,岩田康,美浦武井,464,12,芝,1600,３歳未勝利
2026.3.22,中5,16,リーデレクオーレ,,牝,55.0,柴田大,美浦秋本,416,-6,芝,1600,３歳未勝利
2026.3.22,中6,1,キリスパークル,,牝,55.0,木幡巧,美浦勢司,432,-4,芝,2000,３歳未勝利
2026.3.22,中6,2,シーギリヤロック,,牡,57.0,ルメール,美浦田中博,448,4,芝,2000,３歳未勝利
2026.3.22,中6,3,フューチャプライム,,牝,55.0,荻野極,美浦相沢,400,-2,芝,2000,３歳未勝利
2026.3.22,中6,4,ニュークリアス,,牡,57.0,戸崎圭,美浦萩原,466,-6,芝,2000,３歳未勝利
2026.3.22,中6,5,フックセンチョウ,,牡,57.0,野中,美浦佐藤吉,436,-4,芝,2000,３歳未勝利
2026.3.22,中6,6,プレイザリード,,牡,57.0,三浦,美浦加藤士,486,0,芝,2000,３歳未勝利
2026.3.22,中6,7,タッカーヴァンバン,,牡,57.0,吉田豊,美浦田島,474,-10,芝,2000,３歳未勝利
2026.3.22,中6,8,ヒコボシ,,牡,57.0,江田照,美浦田村,406,0,芝,2000,３歳未勝利
2026.3.22,中6,9,ミナヅキ,,牡,57.0,石橋脩,美浦清水英,462,4,芝,2000,３歳未勝利
2026.3.22,中6,10,ホープフルワールド,,牡,57.0,原,美浦伊藤大,446,2,芝,2000,３歳未勝利
2026.3.22,中6,11,コスモアンタレス,,牡,57.0,柴田大,美浦和田勇,458,-4,芝,2000,３歳未勝利
2026.3.22,中6,12,レスター,,牡,57.0,菊沢,美浦鈴木慎,486,0,芝,2000,３歳未勝利
2026.3.22,中6,13,カムバックトゥミー,,牝,52.0,▲遠藤,美浦佐藤吉,506,-12,芝,2000,３歳未勝利
2026.3.22,中6,14,ジャケットポケット,,牡,57.0,石川,美浦奥村武,468,8,芝,2000,３歳未勝利
2026.3.22,中6,15,ハートチャン,,牝,52.0,▲上里,美浦金成,396,0,芝,2000,３歳未勝利
2026.3.22,中6,16,サフール,,牡,57.0,小林脩,美浦浅利,450,0,芝,2000,３歳未勝利
2026.3.22,中6,17,イベリスアマラ,,牡,57.0,武藤,美浦高橋文,426,0,芝,2000,３歳未勝利
2026.3.22,中6,18,エラルディーク,,牝,55.0,津村,美浦宮田,484,0,芝,2000,３歳未勝利
2026.3.22,中7,1,ヘルメスギャング,,牡,55.0,△長浜,美浦武井,462,6,芝,2000,３歳１勝クラス
2026.3.22,中7,2,ラディアントスター,,牡,57.0,戸崎圭,美浦林,524,6,芝,2000,３歳１勝クラス
2026.3.22,中7,3,グランアルト,,牡,57.0,横山琉,美浦斎藤誠,514,6,芝,2000,３歳１勝クラス
2026.3.22,中7,4,プラウディッツ,,牝,55.0,ルメール,美浦田中博,476,2,芝,2000,３歳１勝クラス
2026.3.22,中7,5,フクスケ,,牡,57.0,木幡育,美浦杉浦,446,-6,芝,2000,３歳１勝クラス
2026.3.22,中7,6,マイネルマスター,,牡,57.0,津村,美浦青木,448,6,芝,2000,３歳１勝クラス
2026.3.22,中7,7,ノーウェアマン,,牡,57.0,木幡巧,美浦浅利,482,-8,芝,2000,３歳１勝クラス
2026.3.22,中7,8,コスモエルヴァル,,牡,57.0,石川,美浦黒岩,494,0,芝,2000,３歳１勝クラス
2026.3.22,中8,1,キャストロペペ,,牡,58.0,野中,美浦堀内,480,4,ダ,1800,４歳以上１勝クラス
2026.3.22,中8,2,カルネヴァーレ,,牝,53.0,▲石田,美浦菊沢,532,0,ダ,1800,４歳以上１勝クラス
2026.3.22,中8,3,テルケンユミクイン,,牝,56.0,吉田豊,美浦田島,500,0,ダ,1800,４歳以上１勝クラス
2026.3.22,中8,4,エデルクローネ,,牡,58.0,戸崎圭,美浦手塚久,478,-14,ダ,1800,４歳以上１勝クラス
2026.3.22,中8,5,ボナーテソーロ,,牡,58.0,木幡巧,美浦牧,482,4,ダ,1800,４歳以上１勝クラス
2026.3.22,中8,6,ウーバーストロング,,牡,58.0,木幡育,美浦杉浦,458,-4,ダ,1800,４歳以上１勝クラス
2026.3.22,中8,7,ウインイメル,,牡,58.0,松岡,美浦深山,494,-8,ダ,1800,４歳以上１勝クラス
2026.3.22,中8,8,オウケンシルヴァー,,牡,58.0,岩田康,美浦松永康,498,0,ダ,1800,４歳以上１勝クラス
2026.3.22,中8,9,ジャクソン,,牡,58.0,菊沢,美浦武市,536,-4,ダ,1800,４歳以上１勝クラス
2026.3.22,中8,10,ハクシンブライアン,,牡,58.0,大野,美浦松山,524,6,ダ,1800,４歳以上１勝クラス
2026.3.22,中8,11,ボルトテソーロ,,牡,58.0,原,美浦栗田,504,0,ダ,1800,４歳以上１勝クラス
2026.3.22,中8,12,コルヴィル,,牝,56.0,黛,美浦柄崎,,,ダ,1800,４歳以上１勝クラス
2026.3.22,中8,13,グランドフォレスト,,牡,56.0,△長浜,美浦室井,468,-5,ダ,1800,４歳以上１勝クラス
