日付S,場 R,馬番,馬名S,馬ID,性別,斤量,騎手,調教師,馬体重,馬体重増減,芝ダ,距離,クラス
2026.7.4,福1,1,コスモハナミズキ,,牝,55.0,木幡巧,美浦菊川,420,0,芝,1800,２歳未勝利
2026.7.4,福1,2,ウスズミザクラ,,牝,55.0,柴田大,美浦粕谷,416,-4,芝,1800,２歳未勝利
2026.7.4,福1,3,ウィンターブリーズ,,牡,55.0,戸崎圭,美浦田中博,478,6,芝,1800,２歳未勝利
2026.7.4,福1,4,ニューロファイター,,牡,55.0,坂井,美浦和田勇,472,-14,芝,1800,２歳未勝利
2026.7.4,福1,5,レゾルーティオ,,牡,55.0,北村友,栗東坂口,448,-2,芝,1800,２歳未勝利
2026.7.4,福1,6,シーズザチャンス,,牝,55.0,津村,美浦大和田,404,0,芝,1800,２歳未勝利
2026.7.4,福1,7,ユイノヘラクレス,,牡,55.0,木幡初,美浦深山,448,-4,芝,1800,２歳未勝利
2026.7.4,福1,8,エムアイブレイズ,,牡,55.0,原,美浦青木,446,-6,芝,1800,２歳未勝利
2026.7.4,福2,1,ファランギーナ,,牡,57.0,戸崎圭,栗東福永,418,-4,芝,2600,３歳未勝利
2026.7.4,福2,2,ボンボンベイビー,,牡,57.0,吉田豊,栗東矢作,438,-2,芝,2600,３歳未勝利
2026.7.4,福2,3,ベルトラッキ,,牡,54.0,▲上里,美浦加藤士,472,0,芝,2600,３歳未勝利
2026.7.4,福2,4,オープンザパンドラ,,牡,57.0,菊沢,栗東小椋,444,-14,芝,2600,３歳未勝利
2026.7.4,福2,5,ホグホグナナハン,,牡,57.0,丸田,美浦小笠,460,-2,芝,2600,３歳未勝利
2026.7.4,福2,6,ドナディクオーレ,,牝,55.0,津村,美浦上原佑,366,0,芝,2600,３歳未勝利
2026.7.4,福2,7,クイーンズレイン,,牝,52.0,▲石神道,美浦林,442,-10,芝,2600,３歳未勝利
2026.7.4,福2,8,リバーブレーション,,牡,57.0,杉原,美浦清水英,430,-10,芝,2600,３歳未勝利
2026.7.4,福2,9,レディホークダイヤ,,牝,55.0,北村宏,美浦田中剛,442,2,芝,2600,３歳未勝利
