日付S,場 R,馬番,馬名S,馬ID,性別,斤量,騎手,調教師,馬体重,馬体重増減,芝ダ,距離,クラス
2026.4.18,中1,1,エビスディアーナ,,牝,55.0,ディー,美浦加藤征,426,-2,ダ,1200,３歳未勝利
2026.4.18,中1,2,オーシャンステラ,,牝,55.0,横山武,美浦菊沢,424,8,ダ,1200,３歳未勝利
2026.4.18,中1,3,サドルトウショウ,,牝,55.0,野中,美浦萱野,484,-12,ダ,1200,３歳未勝利
2026.4.18,中1,4,アドミ,,牝,55.0,戸崎圭,美浦中川,446,-2,ダ,1200,３歳未勝利
2026.4.18,中1,5,シャインネージュ,,牝,55.0,石橋脩,美浦小野,470,0,ダ,1200,３歳未勝利
2026.4.18,中1,6,セントリアン,,牝,55.0,原,美浦萱野,428,-2,ダ,1200,３歳未勝利
2026.4.18,中1,7,ウィザードオブマリ,,牝,52.0,▲水沼,美浦蛯名利,456,2,ダ,1200,３歳未勝利
2026.4.18,中1,8,マリノフォルトゥナ,,牝,55.0,武藤,美浦水野,432,-4,ダ,1200,３歳未勝利
2026.4.18,中1,9,ジャメビュ,,牝,55.0,江田照,美浦佐藤吉,418,-12,ダ,1200,３歳未勝利
2026.4.18,中1,10,アイリーノリチャン,,牝,55.0,木幡巧,美浦尾形,432,2,ダ,1200,３歳未勝利
2026.4.18,中1,11,グラデュエール,,牝,55.0,木幡初,美浦粕谷,422,0,ダ,1200,３歳未勝利
2026.4.18,中1,12,エコロセレナ,,牝,55.0,岩田康,美浦斎藤誠,468,8,ダ,1200,３歳未勝利
2026.4.18,中1,13,ベイビーシスター,,牝,55.0,伊藤,美浦林,444,4,ダ,1200,３歳未勝利
2026.4.18,中1,14,タイセイスタナー,,牝,55.0,松岡,美浦池上,470,4,ダ,1200,３歳未勝利
2026.4.18,中1,15,クアロアランチ,,牝,55.0,ルメール,美浦西田,452,4,ダ,1200,３歳未勝利
2026.4.18,中2,1,ゴーフォアブローク,,牡,57.0,田辺,美浦手塚久,524,-6,ダ,1800,３歳未勝利
2026.4.18,中2,2,フクチャンブラック,,牡,57.0,津村,栗東高橋康,476,4,ダ,1800,３歳未勝利
2026.4.18,中2,3,リマーカブル,,牡,54.0,▲水沼,美浦加藤和,554,8,ダ,1800,３歳未勝利
2026.4.18,中2,4,トワイライトビュー,,牡,57.0,原,美浦中川,506,10,ダ,1800,３歳未勝利
2026.4.18,中2,5,サクラドール,,牡,57.0,佐々木,美浦田島,498,0,ダ,1800,３歳未勝利
2026.4.18,中2,6,キセログラフィカ,,牡,57.0,横山武,美浦大和田,504,0,ダ,1800,３歳未勝利
2026.4.18,中2,7,ホウオウファラオ,,牡,57.0,岩田康,美浦奥村武,474,0,ダ,1800,３歳未勝利
2026.4.18,中2,8,ユイノサダハル,,牡,57.0,江田照,美浦古賀慎,464,2,ダ,1800,３歳未勝利
2026.4.18,中2,9,ロジシーザ,,牡,57.0,野中,美浦古賀慎,488,2,ダ,1800,３歳未勝利
2026.4.18,中2,10,サウジバラード,,牡,57.0,ディー,美浦加藤征,458,0,ダ,1800,３歳未勝利
2026.4.18,中2,11,ロードステラート,,牡,57.0,横山和,栗東武英,496,-4,ダ,1800,３歳未勝利
2026.4.18,中3,1,クレバーキュート,,牡,57.0,津村,栗東秋山,458,-4,ダ,1200,３歳未勝利
2026.4.18,中3,2,コブラツイスト,,牡,57.0,原,美浦石栗,460,0,ダ,1200,３歳未勝利
2026.4.18,中3,3,ファインヒメ,,牝,55.0,原田和,美浦天間,416,-2,ダ,1200,３歳未勝利
2026.4.18,中3,4,フクノエルデ,,セ,57.0,江田照,美浦田中剛,456,-2,ダ,1200,３歳未勝利
2026.4.18,中3,5,エコログロウ,,牡,57.0,ディー,栗東牧浦,568,0,ダ,1200,３歳未勝利
2026.4.18,中3,6,シャインプレマ,,牝,55.0,嶋田,美浦中舘,414,-8,ダ,1200,３歳未勝利
2026.4.18,中3,7,ビタミンドロップ,,牡,57.0,野中,美浦松山,500,-2,ダ,1200,３歳未勝利
2026.4.18,中3,8,コーリンクレア,,牝,51.0,★谷原,美浦小野,438,0,ダ,1200,３歳未勝利
2026.4.18,中3,9,メリフルアス,,牝,55.0,ルメール,栗東小栗,476,-2,ダ,1200,３歳未勝利
2026.4.18,中3,10,ベアゴーフォー,,牡,57.0,松岡,美浦杉浦,464,-4,ダ,1200,３歳未勝利
2026.4.18,中3,11,クリオロゴールド,,牡,57.0,横山武,美浦高柳瑞,438,2,ダ,1200,３歳未勝利
2026.4.18,中3,12,ドリームハーモニー,,牝,55.0,小林凌,栗東加藤公,442,-4,ダ,1200,３歳未勝利
2026.4.18,中3,13,シルバープレート,,セ,57.0,小林脩,美浦青木,458,-6,ダ,1200,３歳未勝利
2026.4.18,中3,14,ノリキング,,牡,54.0,▲佐藤,美浦伊藤大,520,-10,ダ,1200,３歳未勝利
2026.4.18,中4,1,ウインクリンゲル,,牡,57.0,武藤,栗東宮本,520,0,ダ,1800,３歳未勝利
2026.4.18,中4,2,コスモアンタレス,,牡,57.0,柴田大,美浦和田勇,462,2,ダ,1800,３歳未勝利
2026.4.18,中4,3,メディチパワー,,牡,57.0,木幡巧,美浦中川,474,0,ダ,1800,３歳未勝利
2026.4.18,中4,4,スチールナイト,,牡,57.0,黛,美浦和田雄,454,5,ダ,1800,３歳未勝利
2026.4.18,中4,5,ピードモント,,セ,57.0,岩田康,美浦武井,458,-18,ダ,1800,３歳未勝利
2026.4.18,中4,6,アージュドール,,牡,57.0,原,栗東森田,432,-4,ダ,1800,３歳未勝利
