rank  feature                                     coef    NaN率
 144  種牡馬_勝率                                    0.0384     0%
 145  前走上り3F                                    0.0382    10%
 146  格上経験数_近5走                                 0.0376     0%
 147  近走_改善トレンド                                 0.0372    29%
 148  4走前_頭数                                    0.0371    36%
 149  9走前_4角                                    0.0371    61%
 150  性別_num                                    0.0361     2%
 151  3走前_PCI                                   0.0361    30%
 152  1走前_クラス調整着順                               0.0357    10%
 153  同会場_複勝率_近5走                               0.0354     0%
 154  近5走_クラス調整_平均着順                            0.0352    10%
 155  5走前_クラス調整着順                               0.0349    42%
 156  6走前_PCI                                   0.0344    49%
 157  4走前_PCI                                   0.0339    37%
 158  前走走破タイム_sec                               0.0338    10%
 159  近5走_平均着順                                  0.0338    10%
 160  8走前_馬体重                                   0.0327    57%
 161  近10走_複勝率                                  0.0326    10%
 162  1走前_馬体重                                   0.0321    10%
 163  1走前_前走着差タイム                               0.0319    20%
 164  1走前_間隔                                    0.0315    19%
 165  5走前_着順_num                                0.0314    42%
 166  7走前_斤量                                    0.0314    52%
 167  6走前_馬体重                                   0.0312    48%
 168  近5走_クラス補正スコア                              0.0307    10%
 169  3走前_間隔                                    0.0305    36%
 170  馬コース_r20_複勝率                              0.0300     0%
 171  着差タイム_クラス補正_4走前                           0.0298    42%
 172  近5走_複勝率                                   0.0297    10%
 173  上り3F_近3走_slope                            0.0297    19%
 174  母父馬_勝率                                    0.0296     0%
 175  推定_脚質率                                    0.0288    10%
 176  調教師_r200_勝率                               0.0287     0%
 177  pace_前目競争度                                0.0283   100%
 178  騎手_平均着順                                   0.0281    25%
 179  生産者_勝率                                    0.0281     0%
 180  調教師コース_r100_複勝率                           0.0281     0%
 181  近走着順トレンド                                  0.0280   100%
 182  10走前_PCI                                  0.0275    65%
 183  騎手距離_r100_複勝率                             0.0275     1%
 184  騎手_r200_複勝率                               0.0275     1%
 185  4走前_走破タイム_sec                             0.0271    36%
 186  2走前_間隔                                    0.0269    28%
 187  2走前_走破タイム_sec                             0.0269    20%
 188  2走前_脚質_num                                0.0268    20%
 189  6走前_前走着差タイム                               0.0258    53%
 190  9走前_頭数                                    0.0258    61%
 191  4走前_前走着差タイム                               0.0257    42%
 192  2走前_前走着差タイム                               0.0251    28%
 193  6走前_走破タイム_sec                             0.0241    48%
 194  近3走_複勝率                                   0.0239    10%
 195  馬コース_r20_勝率                               0.0236     0%
 196  近5走_タイム指数_std                             0.0225    20%
 197  3走前_上り3F                                  0.0221    28%
 198  10走前_頭数                                   0.0218    64%
 199  4走前_着順_num                                0.0214    36%
 200  4走前_間隔                                    0.0212    42%
 201  6走前_クラス_rank                              0.0209    49%
 202  10走前_前走着差タイム                              0.0209    67%
 203  馬場適性差_近5走                                 0.0209    70%
 204  7走前_着順_num                                0.0205    53%
 205  馬体重増減                                     0.0205    11%
 206  10走前_RPCI                                 0.0204    65%
 207  タイム指数_近3走_slope                           0.0203    20%
 208  前走_距離_m                                   0.0196    10%
 209  近10走_勝率                                   0.0196    10%
 210  7走前_上り3F_指数                               0.0195    53%
 211  自馬_対_レース脚質差                               0.0191   100%
 212  10走前_馬体重                                  0.0191    64%
 213  8走前_馬番                                    0.0189    57%
 214  タイム指数_近5走_slope                           0.0185    20%
 215  調教師_r200_複勝率                              0.0185     0%
 216  着順_加速度                                    0.0185    29%
 217  種牡馬_芝_勝率                                  0.0183     0%
 218  距離延長時_平均着順_近5走                            0.0183    79%
 219  騎手変更                                      0.0182     0%
 220  9走前_斤量                                    0.0179    61%
 221  1走前_4角                                    0.0174    10%
 222  7走前_クラス_rank                              0.0171    54%
 223  前2角                                       0.0170    55%
 224  同距離帯_平均着順_近5走                             0.0168    17%
 225  クラス変化                                     0.0164   100%
 226  距離短縮時_平均着順_近5走                            0.0161    79%
 227  近5走_平均4角位置                                0.0158    10%
 228  8走前_PCI                                   0.0153    58%
 229  1走前_頭数                                    0.0151    10%
 230  連闘フラグ                                     0.0149     0%
 231  9走前_馬体重増減                                 0.0146    64%
 232  2走前_馬番                                    0.0144    19%
 233  近5走_上り3F_std                              0.0143    19%
 234  4走前_上り3F_指数                               0.0143    36%
 235  9走前_脚質_num                                0.0143    61%
 236  芝ダ転向                                      0.0143     0%
 237  9走前_前走着差タイム                               0.0142    64%
 238  9走前_PCI                                   0.0140    61%
 239  着差タイム_クラス補正_3走前                           0.0139    36%
 240  8走前_走破タイム_sec                             0.0136    57%
 241  4走前_脚質_num                                0.0136    36%
 242  10走前_上り3F_指数                              0.0135    64%
 243  8走前_着順_num                                0.0134    57%
 244  8走前_馬体重増減                                 0.0132    61%
 245  同会場_平均着順_近5走                              0.0132    54%
 246  5走前_前走着差タイム                               0.0132    48%
 247  馬体重トレンド_近5走                               0.0131    42%
 248  1走前_PCI                                   0.0129    12%
 249  着順_近3走_slope                              0.0129    19%
 250  4走前_4角                                    0.0128    36%
 251  2走前_馬体重増減                                 0.0124    28%
 252  レース内_相対脚質                                 0.0123    12%
 253  7走前_馬体重                                   0.0121    53%
 254  8走前_前走着差タイム                               0.0121    61%
 255  5走前_脚質_num                                0.0120    42%
 256  産地_勝率                                     0.0117     0%
 257  6走前_4角                                    0.0116    48%
 258  タイム指数_加速度                                 0.0116    34%
 259  3走前_馬番                                    0.0114    28%
 260  前走馬番                                      0.0114    12%
 261  7走前_上り3F                                  0.0110    53%
 262  1走前_脚質_num                                0.0108    10%
 263  8走前_斤量                                    0.0107    57%
 264  10走前_斤量                                   0.0106    64%
 265  近3走_体重増減合計                                0.0106     0%
 266  騎手馬場_r100_勝率                              0.0105     0%
 267  5走前_4角                                    0.0105    42%
 268  5走前_馬番                                    0.0105    42%
 269  10走前_クラス_rank                             0.0101    65%
 270  7走前_間隔                                    0.0101    57%
