日付S,場 R,馬番,馬名S,馬ID,性別,斤量,騎手,調教師,馬体重,馬体重増減,芝ダ,距離,クラス
2026.2.21,東1,1,スーパーガール,,牝,52.0,▲佐藤,美浦伊藤圭,492,0,ダ,1400,３歳未勝利
2026.2.21,東1,2,メビウスロマンス,,牝,55.0,戸崎圭,美浦矢嶋,460,0,ダ,1400,３歳未勝利
2026.2.21,東1,3,ギルランダ,,牝,55.0,石川,美浦中舘,416,0,ダ,1400,３歳未勝利
2026.2.21,東1,4,ミエスタ,,牝,55.0,吉村,美浦加藤征,484,4,ダ,1400,３歳未勝利
2026.2.21,東1,5,マジェステラ,,牝,55.0,津村,美浦千葉,476,8,ダ,1400,３歳未勝利
2026.2.21,東1,6,コパノキャメロン,,牝,55.0,武藤,美浦手塚久,494,12,ダ,1400,３歳未勝利
2026.2.21,東1,7,ハウスオンファイア,,牝,55.0,杉原,美浦岩戸,508,14,ダ,1400,３歳未勝利
2026.2.21,東1,8,グラスハーティー,,牝,55.0,大野,美浦松山,496,2,ダ,1400,３歳未勝利
2026.2.21,東1,9,イアム,,牝,52.0,▲遠藤,美浦加藤和,404,8,ダ,1400,３歳未勝利
2026.2.21,東1,10,タマモチョコチップ,,牝,55.0,原,美浦菊沢,456,4,ダ,1400,３歳未勝利
2026.2.21,東1,11,イヌボウノキラメキ,,牝,55.0,キング,美浦国枝,468,-4,ダ,1400,３歳未勝利
2026.2.21,東1,12,ジェイドテソーロ,,牝,55.0,木幡巧,美浦千葉,436,0,ダ,1400,３歳未勝利
2026.2.21,東1,13,オテンバプリンセス,,牝,52.0,▲上里,美浦加藤士,488,12,ダ,1400,３歳未勝利
2026.2.21,東1,14,ルクリーシア,,牝,55.0,荻野極,美浦黒岩,458,6,ダ,1400,３歳未勝利
2026.2.21,東1,15,パルストリス,,牝,53.0,△長浜,美浦手塚久,416,-8,ダ,1400,３歳未勝利
2026.2.21,東1,16,マジンタクシー,,牝,55.0,木幡初,美浦深山,504,-2,ダ,1400,３歳未勝利
2026.2.21,東2,1,サマーゲール,,牡,57.0,キング,美浦加藤士,528,0,ダ,1400,３歳１勝クラス
2026.2.21,東2,2,ゲームカレンダー,,牡,57.0,丸田,美浦小笠,458,0,ダ,1400,３歳１勝クラス
2026.2.21,東2,3,チームユートピア,,牝,55.0,原,美浦中舘,460,-2,ダ,1400,３歳１勝クラス
2026.2.21,東2,4,ゴーゴーリチャード,,牡,57.0,石川,栗東庄野,502,6,ダ,1400,３歳１勝クラス
2026.2.21,東2,5,ヒナノムサシ,,牡,57.0,柴田善,美浦本間,532,10,ダ,1400,３歳１勝クラス
2026.2.21,東2,6,タカスタカスタカス,,牡,57.0,三浦,栗東藤原,510,6,ダ,1400,３歳１勝クラス
