日付S,場 R,馬番,馬名S,馬ID,性別,斤量,騎手,調教師,馬体重,馬体重増減,芝ダ,距離,クラス
2026.5.9,東1,1,デアトゥバトル,,牡,57.0,松若,美浦水野,456,6,ダ,1300,３歳未勝利
2026.5.9,東1,2,ミッキースワン,,牝,55.0,横山和,美浦菊沢,450,4,ダ,1300,３歳未勝利
2026.5.9,東1,3,ジャガーライズ,,牡,57.0,丹内,美浦伊藤圭,472,8,ダ,1300,３歳未勝利
2026.5.9,東1,4,グラスリッキー,,牡,57.0,松岡,美浦杉浦,470,-2,ダ,1300,３歳未勝利
2026.5.9,東1,5,エリンフレーム,,牝,55.0,石橋脩,美浦清水英,468,12,ダ,1300,３歳未勝利
2026.5.9,東1,6,ブレイブシュガー,,牡,57.0,吉田豊,美浦高橋文,474,0,ダ,1300,３歳未勝利
2026.5.9,東1,7,ノリキング,,牡,54.0,▲佐藤,美浦伊藤大,522,2,ダ,1300,３歳未勝利
2026.5.9,東1,8,コウソクルリアン,,牡,57.0,佐々木,美浦武藤,476,10,ダ,1300,３歳未勝利
2026.5.9,東1,9,ジョーヌミモザ,,牝,55.0,江田照,美浦小野,420,-2,ダ,1300,３歳未勝利
2026.5.9,東1,10,アイアムアッパレ,,牡,57.0,荻野極,美浦奥平,506,2,ダ,1300,３歳未勝利
2026.5.9,東1,11,スピニンググローブ,,牡,57.0,木幡巧,美浦黒岩,496,2,ダ,1300,３歳未勝利
2026.5.9,東1,12,ピーエムキンチャン,,牡,57.0,菅原明,美浦和田郎,454,11,ダ,1300,３歳未勝利
2026.5.9,東1,13,サリーアン,,牡,57.0,横山武,美浦鈴木伸,458,2,ダ,1300,３歳未勝利
2026.5.9,東1,14,ショコラキュイ,,牡,57.0,戸崎圭,美浦森一,496,0,ダ,1300,３歳未勝利
2026.5.9,東1,15,ロジシーザ,,牡,57.0,岩田康,美浦古賀慎,490,2,ダ,1300,３歳未勝利
2026.5.9,東1,16,フェイスリフト,,牡,57.0,ディー,美浦嘉藤,460,-4,ダ,1300,３歳未勝利
2026.5.9,東2,1,キタイノホシ,,牡,57.0,石橋脩,美浦蛯名利,442,0,ダ,2100,３歳未勝利
2026.5.9,東2,2,グスク,,牡,57.0,大野,美浦辻,478,-2,ダ,2100,３歳未勝利
2026.5.9,東2,3,サクセスゴールド,,牡,57.0,田辺,美浦久保田,484,-4,ダ,2100,３歳未勝利
2026.5.9,東2,4,オセアビシャイン,,牡,57.0,佐々木,美浦菊川,462,0,ダ,2100,３歳未勝利
2026.5.9,東2,5,ユイノサダハル,,牡,57.0,江田照,美浦古賀慎,464,0,ダ,2100,３歳未勝利
2026.5.9,東2,6,ソニックキャット,,牡,57.0,ディー,美浦田村,520,6,ダ,2100,３歳未勝利
2026.5.9,東2,7,カミノテイオー,,牡,57.0,小林脩,美浦奥平,478,4,ダ,2100,３歳未勝利
2026.5.9,東2,8,ボクサークラブ,,牡,57.0,丹内,栗東杉山佳,484,-4,ダ,2100,３歳未勝利
2026.5.9,東2,9,エオリアンリッジ,,牡,57.0,荻野極,美浦尾関,498,-4,ダ,2100,３歳未勝利
2026.5.9,東2,10,ミーサーク,,牡,57.0,武豊,栗東武幸,454,-10,ダ,2100,３歳未勝利
2026.5.9,東2,11,コスモラムバック,,牡,57.0,木幡巧,美浦水野,502,0,ダ,2100,３歳未勝利
2026.5.9,東3,1,ザンテソーロ,,牡,57.0,木幡巧,美浦畠山,454,4,ダ,1600,３歳未勝利
2026.5.9,東3,2,ボンダイビーチ,,牝,55.0,木幡育,美浦的場,418,4,ダ,1600,３歳未勝利
2026.5.9,東3,3,ファイアリービート,,牡,57.0,大野,美浦鈴木慎,460,2,ダ,1600,３歳未勝利
2026.5.9,東3,4,ケファロニア,,牡,57.0,北村宏,美浦高柳瑞,466,6,ダ,1600,３歳未勝利
2026.5.9,東3,5,コロッセウム,,牡,57.0,丹内,美浦清水英,452,-6,ダ,1600,３歳未勝利
2026.5.9,東3,6,ロイヤルアデレード,,牡,57.0,レーン,美浦加藤征,492,8,ダ,1600,３歳未勝利
2026.5.9,東3,7,イゲマジャ,,牡,57.0,柴田大,美浦清水英,478,-4,ダ,1600,３歳未勝利
2026.5.9,東3,8,ベアエクスプレス,,牝,55.0,黛,美浦柄崎,484,0,ダ,1600,３歳未勝利
2026.5.9,東3,9,トルネードアイル,,牡,57.0,ルメール,美浦鹿戸,508,8,ダ,1600,３歳未勝利
2026.5.9,東3,10,トレンドラド,,牝,52.0,▲佐藤,美浦伊藤大,442,-2,ダ,1600,３歳未勝利
2026.5.9,東3,11,ドロワ,,牡,57.0,江田照,美浦室井,502,6,ダ,1600,３歳未勝利
2026.5.9,東3,12,キリミツ,,牡,57.0,石橋脩,美浦勢司,442,10,ダ,1600,３歳未勝利
2026.5.9,東3,13,アンシュウマト,,牡,57.0,三浦,美浦中川,458,6,ダ,1600,３歳未勝利
2026.5.9,東3,14,パンパネイラ,,セ,57.0,吉田豊,美浦高橋文,446,-4,ダ,1600,３歳未勝利
2026.5.9,東3,15,レイズテンペスト,,牡,57.0,横山和,美浦田村,486,0,ダ,1600,３歳未勝利
2026.5.9,東3,16,サトノワーグナー,,牡,57.0,戸崎圭,美浦斎藤誠,484,-4,ダ,1600,３歳未勝利
2026.5.9,東4,1,リーピングサイン,,牝,55.0,佐々木,美浦武藤,508,0,芝,2400,３歳未勝利
2026.5.9,東4,2,サンクレゾン,,牝,55.0,ルメール,美浦大竹,448,0,芝,2400,３歳未勝利
2026.5.9,東4,3,ボンボンベイビー,,牡,57.0,ディー,栗東矢作,446,-2,芝,2400,３歳未勝利
2026.5.9,東4,4,ニシノヒノトリ,,牡,57.0,津村,美浦手塚久,482,6,芝,2400,３歳未勝利
2026.5.9,東4,5,ブルーブロディ,,牡,57.0,荻野極,美浦伊坂,502,4,芝,2400,３歳未勝利
2026.5.9,東4,6,ガードオブオナー,,牡,57.0,レーン,美浦林,514,0,芝,2400,３歳未勝利
2026.5.9,東4,7,ダイナマイトメロン,,牝,55.0,杉原,美浦伊藤大,464,6,芝,2400,３歳未勝利
2026.5.9,東4,8,クイーンアン,,牝,55.0,武豊,美浦蛯名正,458,-4,芝,2400,３歳未勝利
2026.5.9,東4,9,クォンタムビット,,牡,57.0,横山武,美浦萩原,432,4,芝,2400,３歳未勝利
2026.5.9,東4,10,フォンドルレール,,牡,57.0,吉田豊,美浦戸田,424,0,芝,2400,３歳未勝利
2026.5.9,東4,11,オーケーグリット,,牡,57.0,木幡巧,美浦相沢,470,2,芝,2400,３歳未勝利
2026.5.9,東4,12,トレセデオロ,,牡,57.0,松若,栗東清水久,444,0,芝,2400,３歳未勝利
2026.5.9,東5,1,イトシサ,,牡,57.0,三浦,美浦田中博,512,4,芝,1400,３歳未勝利
