日付S,場 R,馬番,馬名S,馬ID,性別,斤量,騎手,調教師,馬体重,馬体重増減,芝ダ,距離,クラス
2026.3.14,中1,1,フローレスカラーズ,,牝,55.0,丹内,美浦高木,440,-2,ダ,1800,３歳未勝利
2026.3.14,中1,2,セルレーヴ,,牝,55.0,原,美浦田中博,470,4,ダ,1800,３歳未勝利
2026.3.14,中1,3,タイセイルビー,,牝,55.0,三浦,美浦千葉,452,0,ダ,1800,３歳未勝利
2026.3.14,中1,4,ビレッジルイーザ,,牝,55.0,荻野極,美浦伊藤圭,438,2,ダ,1800,３歳未勝利
2026.3.14,中1,5,スターキャンディ,,牝,55.0,小林脩,美浦松山,476,0,ダ,1800,３歳未勝利
2026.3.14,中1,6,アスコットヴェール,,牝,55.0,佐々木,美浦竹内,474,4,ダ,1800,３歳未勝利
2026.3.14,中1,7,アースアクシス,,牝,55.0,戸崎圭,美浦栗田,500,0,ダ,1800,３歳未勝利
2026.3.14,中1,8,エコロストーム,,牝,55.0,津村,美浦千葉,454,4,ダ,1800,３歳未勝利
2026.3.14,中1,9,イヌボウノキラメキ,,牝,53.0,△長浜,美浦嘉藤,470,2,ダ,1800,３歳未勝利
2026.3.14,中1,10,ニューカワイイ,,牝,52.0,▲石田,美浦中川,440,2,ダ,1800,３歳未勝利
2026.3.14,中1,11,クイーンズホリデー,,牝,55.0,岩田康,美浦林,494,14,ダ,1800,３歳未勝利
2026.3.14,中1,12,ゴールドビリーヴ,,牝,55.0,田辺,美浦鈴木慎,506,0,ダ,1800,３歳未勝利
2026.3.14,中1,13,ロット,,牝,55.0,嶋田,美浦本間,424,-2,ダ,1800,３歳未勝利
2026.3.14,中1,14,モーニンムスメ,,牝,52.0,▲遠藤,美浦加藤和,484,-8,ダ,1800,３歳未勝利
2026.3.14,中1,15,フライスカイハイ,,牝,55.0,吉田豊,美浦菊川,430,0,ダ,1800,３歳未勝利
2026.3.14,中2,1,ジェネラスキング,,牡,57.0,佐々木,美浦久保田,486,6,ダ,1800,３歳未勝利
2026.3.14,中2,2,クリュメノス,,牡,55.0,△長浜,美浦室井,488,2,ダ,1800,３歳未勝利
2026.3.14,中2,3,ドゥーニ,,牡,57.0,津村,美浦矢嶋,488,0,ダ,1800,３歳未勝利
2026.3.14,中2,4,ウィリーズロック,,牡,57.0,原,美浦黒岩,486,-4,ダ,1800,３歳未勝利
2026.3.14,中2,5,ミスターキャンベラ,,牡,57.0,戸崎圭,美浦稲垣,518,0,ダ,1800,３歳未勝利
2026.3.14,中2,6,エオリアンリッジ,,牡,57.0,大野,美浦尾関,502,8,ダ,1800,３歳未勝利
2026.3.14,中2,7,セブンワンダーズ,,牡,57.0,斎藤,美浦斎藤誠,468,0,ダ,1800,３歳未勝利
2026.3.14,中2,8,マイネルスラーヴァ,,牡,57.0,柴田大,美浦高木,508,0,ダ,1800,３歳未勝利
