日付S,場 R,馬番,馬名S,馬ID,性別,斤量,騎手,調教師,馬体重,馬体重増減,芝ダ,距離,クラス
2026.2.8,小1,1,モズジェネラル,,牡,57.0,松本,栗東田中克,498,-4,ダ,1700,３歳未勝利
2026.2.8,小1,2,ノリノドラゴン,,牡,57.0,富田,栗東荒川,448,-4,ダ,1700,３歳未勝利
2026.2.8,小1,3,ユイノサダハル,,牡,57.0,長岡,美浦古賀,464,-4,ダ,1700,３歳未勝利
2026.2.8,小1,4,シャープインサイト,,牡,57.0,角田和,栗東東田,430,-4,ダ,1700,３歳未勝利
2026.2.8,小1,5,レッツエンジョイ,,牡,54.0,▲田山,栗東石坂,526,0,ダ,1700,３歳未勝利
2026.2.8,小1,6,オーパパ,,牡,57.0,斎藤,美浦斎藤誠,482,-4,ダ,1700,３歳未勝利
2026.2.8,小1,7,ロンバルドシチー,,牡,57.0,松若,栗東西園翔,450,0,ダ,1700,３歳未勝利
2026.2.8,小1,8,バケラッタ,,牡,57.0,鮫島駿,栗東河嶋,472,-4,ダ,1700,３歳未勝利
2026.2.8,小1,9,シュトルムカイザー,,セ,57.0,国分恭,栗東野中,470,-18,ダ,1700,３歳未勝利
2026.2.8,小1,10,ビナハイバン,,牡,54.0,▲和田陽,栗東中尾,462,-6,ダ,1700,３歳未勝利
2026.2.8,小1,11,イサギ,,牡,57.0,小沢,栗東小椋,474,10,ダ,1700,３歳未勝利
2026.2.8,小1,12,マイネルゼーロス,,牡,54.0,▲石神道,美浦相沢,488,-4,ダ,1700,３歳未勝利
2026.2.8,小1,13,コパノルーカス,,牡,57.0,加藤,栗東梅田,494,10,ダ,1700,３歳未勝利
2026.2.8,小1,14,デルニエジョイ,,牡,57.0,丹内,栗東鈴木孝,480,22,ダ,1700,３歳未勝利
2026.2.8,小1,15,ゴーゴーパワー,,牡,55.0,△鷲頭,栗東井上,470,2,ダ,1700,３歳未勝利
