日付S,場 R,馬番,馬名S,馬ID,性別,斤量,騎手,調教師,馬体重,馬体重増減,芝ダ,距離,クラス
2026.3.1,中1,1,バイアブランカ,,牝,55.0,津村,美浦古賀,506,-4,ダ,1800,３歳未勝利
2026.3.1,中1,2,ビレッジルイーザ,,牝,55.0,荻野極,美浦伊藤圭,436,-4,ダ,1800,３歳未勝利
2026.3.1,中1,3,シラカワゴウ,,牝,55.0,原田和,美浦上原博,488,4,ダ,1800,３歳未勝利
2026.3.1,中1,4,トレンドラド,,牝,55.0,杉原,美浦伊藤大,444,-10,ダ,1800,３歳未勝利
2026.3.1,中1,5,ドロボーネコ,,牝,52.0,▲上里,美浦武井,482,-10,ダ,1800,３歳未勝利
2026.3.1,中1,6,サラサチャチャチャ,,牝,55.0,江田照,美浦田中剛,464,-4,ダ,1800,３歳未勝利
2026.3.1,中1,7,イデアクリスタル,,牝,55.0,横山和,美浦小西,472,-4,ダ,1800,３歳未勝利
2026.3.1,中1,8,ロジマギー,,牝,55.0,丸山,美浦宮田,468,0,ダ,1800,３歳未勝利
2026.3.1,中1,9,フライスカイハイ,,牝,55.0,吉田豊,美浦菊川,430,12,ダ,1800,３歳未勝利
2026.3.1,中1,10,ダイユウアドバンス,,牝,52.0,▲佐藤,美浦松永康,500,-4,ダ,1800,３歳未勝利
2026.3.1,中1,11,イヌボウノサザナミ,,牝,55.0,石川,美浦大和田,416,6,ダ,1800,３歳未勝利
2026.3.1,中1,12,ロココ,,牝,53.0,△長浜,美浦根本,458,4,ダ,1800,３歳未勝利
2026.3.1,中1,13,エリザベスタウン,,牝,55.0,原,美浦池上,456,-16,ダ,1800,３歳未勝利
2026.3.1,中1,14,タートルインメイ,,牝,55.0,松岡,美浦奥平,486,0,ダ,1800,３歳未勝利
2026.3.1,中1,15,ピュアエンブレム,,牝,55.0,岩田康,美浦小手川,498,18,ダ,1800,３歳未勝利
2026.3.1,中1,16,フローラルアーチ,,牝,55.0,佐々木,美浦武藤,492,0,ダ,1800,３歳未勝利
2026.3.1,中2,1,アイアムアッパレ,,牡,57.0,柴田善,美浦奥平,504,-4,ダ,1800,３歳未勝利
2026.3.1,中2,2,コパノミラノ,,牡,57.0,柴田大,美浦上原博,494,0,ダ,1800,３歳未勝利
2026.3.1,中2,3,キリスパークル,,牝,55.0,石橋脩,美浦勢司,436,4,ダ,1800,３歳未勝利
2026.3.1,中2,4,クアッドフォルツァ,,牡,54.0,▲佐藤,美浦伊藤圭,474,-2,ダ,1800,３歳未勝利
2026.3.1,中2,5,アトラステソーロ,,牡,57.0,菅原明,美浦高木,486,22,ダ,1800,３歳未勝利
