日付S,場 R,馬番,馬名S,馬ID,性別,斤量,騎手,調教師,馬体重,馬体重増減,芝ダ,距離,クラス
2026.1.5,中1,1,ストライプブルー,,牡,57.0,岩部,美浦中川,450,12,ダ,1200,３歳未勝利
2026.1.5,中1,2,バル,,牡,57.0,柴田大,美浦武市,508,0,ダ,1200,３歳未勝利
2026.1.5,中1,3,ジャガーライズ,,牡,57.0,三浦,美浦伊藤圭,476,-4,ダ,1200,３歳未勝利
2026.1.5,中1,4,デアトゥノウ,,牝,55.0,黛,美浦田島,498,-8,ダ,1200,３歳未勝利
2026.1.5,中1,5,ヴァイオスペース,,牡,57.0,丹内,美浦黒岩,460,10,ダ,1200,３歳未勝利
2026.1.5,中1,6,サトノエスケープ,,牡,57.0,横山武,美浦久保田,486,4,ダ,1200,３歳未勝利
2026.1.5,中1,7,ドリームガッサン,,牝,55.0,津村明秀,美浦鈴木伸,432,0,ダ,1200,３歳未勝利
2026.1.5,中1,8,エクスプレスナイト,,牡,57.0,原,美浦青木,470,2,ダ,1200,３歳未勝利
2026.1.5,中1,9,フクノエルデ,,セ,57.0,江田照,美浦田中剛,460,-6,ダ,1200,３歳未勝利
2026.1.5,中1,10,ダイコクヤタエモン,,牡,57.0,木幡巧,美浦牧,522,8,ダ,1200,３歳未勝利
2026.1.5,中1,11,エコロバロン,,牡,57.0,菊沢,美浦菊沢,496,-2,ダ,1200,３歳未勝利
2026.1.5,中1,12,フレンチブラッサム,,牝,55.0,野中,美浦柄崎,444,2,ダ,1200,３歳未勝利
2026.1.5,中1,13,オスロクィーン,,牝,52.0,▲石神道,美浦武井,440,-4,ダ,1200,３歳未勝利
2026.1.5,中1,14,カシノハンゾウ,,牡,54.0,▲上里,美浦蛯名利,466,2,ダ,1200,３歳未勝利
2026.1.5,中1,15,フックセンチョウ,,牡,55.0,△長浜,美浦佐藤吉,438,-6,ダ,1200,３歳未勝利
2026.1.5,中1,16,ベアゴーフォー,,牡,57.0,松岡,美浦杉浦,468,0,ダ,1200,３歳未勝利
2026.1.5,中2,1,ウォータースパウト,,牝,55.0,佐々木,美浦小笠,460,-8,ダ,1800,３歳未勝利
2026.1.5,中2,2,ブリスフルイヤー,,牝,52.0,▲石田,美浦新開,462,0,ダ,1800,３歳未勝利
2026.1.5,中2,3,ライブリピュア,,牝,55.0,小林凌,美浦尾形,456,6,ダ,1800,３歳未勝利
2026.1.5,中2,4,オリエンタルガール,,牝,55.0,横山琉,美浦相沢,394,-8,ダ,1800,３歳未勝利
2026.1.5,中2,5,ルミテュット,,牝,55.0,内田博,美浦萩原,500,-6,ダ,1800,３歳未勝利
2026.1.5,中2,6,イサチルクイーン,,牝,55.0,木幡初,美浦竹内,466,4,ダ,1800,３歳未勝利
2026.1.5,中2,7,リュウノプティ,,牝,52.0,▲上里,美浦伊坂,406,0,ダ,1800,３歳未勝利
2026.1.5,中2,8,アンファール,,牝,55.0,黛,美浦和田雄,414,6,ダ,1800,３歳未勝利
2026.1.5,中2,9,ディレクティオ,,牝,55.0,丹内,美浦金成,450,14,ダ,1800,３歳未勝利
2026.1.5,中2,10,キタノマテンロウ,,牝,55.0,菊沢,美浦萱野,452,-2,ダ,1800,３歳未勝利
2026.1.5,中2,11,エンゼルランプ,,牝,55.0,嶋田,美浦武市,450,8,ダ,1800,３歳未勝利
2026.1.5,中2,12,ラングドシャ,,牝,55.0,石橋脩,美浦上原佑,454,-2,ダ,1800,３歳未勝利
