日付S,場 R,馬番,馬名S,馬ID,性別,斤量,騎手,調教師,馬体重,馬体重増減,芝ダ,距離,クラス
2026.5.23,東1,1,エイシンキーンラン,,牝,55.0,松岡,美浦田中剛,476,6,ダ,1600,３歳未勝利
2026.5.23,東1,2,バイアブランカ,,牝,55.0,津村,美浦古賀慎,504,0,ダ,1600,３歳未勝利
2026.5.23,東1,3,ゼフィリア,,牝,55.0,原,美浦岩戸,464,6,ダ,1600,３歳未勝利
2026.5.23,東1,4,セイスイカルメン,,牝,55.0,原田和,美浦堀内,462,0,ダ,1600,３歳未勝利
2026.5.23,東1,5,ラヴィングリー,,牝,55.0,荻野極,美浦池上,462,8,ダ,1600,３歳未勝利
2026.5.23,東1,6,サクラボーベル,,牝,55.0,石川,美浦森一,484,-6,ダ,1600,３歳未勝利
2026.5.23,東1,7,ハニーアンバー,,牝,55.0,石橋脩,美浦小野,476,0,ダ,1600,３歳未勝利
2026.5.23,東1,8,ゴールドビリーヴ,,牝,55.0,田辺,美浦鈴木慎,496,0,ダ,1600,３歳未勝利
2026.5.23,東1,9,アンジュレーヌ,,牝,55.0,北村宏,美浦宮田,464,0,ダ,1600,３歳未勝利
2026.5.23,東1,10,フレンチブラッサム,,牝,55.0,木幡巧,美浦柄崎,446,8,ダ,1600,３歳未勝利
2026.5.23,東1,11,ミッキースワン,,牝,54.0,☆長浜,美浦菊沢,448,-2,ダ,1600,３歳未勝利
2026.5.23,東1,12,ホウオウロレンシア,,牝,52.0,▲佐藤,美浦高木,436,-2,ダ,1600,３歳未勝利
2026.5.23,東1,13,サーロー,,牝,55.0,佐々木,美浦勢司,468,-6,ダ,1600,３歳未勝利
2026.5.23,東1,14,アイアンパイク,,牝,55.0,横山典,美浦村田,452,-4,ダ,1600,３歳未勝利
2026.5.23,東1,15,キャルキュラス,,牝,55.0,ディー,美浦大竹,452,0,ダ,1600,３歳未勝利
2026.5.23,東2,1,ヌクレオチド,,牡,57.0,横山典,美浦粕谷,480,-4,ダ,1400,３歳未勝利
