日付S,場 R,馬番,馬名S,馬ID,性別,斤量,騎手,調教師,馬体重,馬体重増減,芝ダ,距離,クラス
2026.6.6,東1,1,サルヴァトーレ,,牡,60.0,草野,美浦和田郎,490,2,障,3000,３歳以上障害未勝利
2026.6.6,東1,2,ベラトール,,牡,60.0,大江圭,美浦西田,502,16,障,3000,３歳以上障害未勝利
2026.6.6,東1,3,コルデアニル,,牝,58.0,黒岩,美浦金成,474,-8,障,3000,３歳以上障害未勝利
2026.6.6,東1,4,ワキノノーブル,,牝,58.0,難波,栗東宮本,470,12,障,3000,３歳以上障害未勝利
2026.6.6,東1,5,モナコブル,,牡,60.0,五十嵐,美浦岩戸,472,10,障,3000,３歳以上障害未勝利
2026.6.6,東1,6,ボールドハーテッド,,牡,60.0,伴,美浦平岩,462,-8,障,3000,３歳以上障害未勝利
2026.6.6,東1,7,ブラックシールド,,牡,60.0,小牧加,栗東小栗,468,-4,障,3000,３歳以上障害未勝利
2026.6.6,東1,8,ナスノソナタ,,牡,57.0,▲水沼,美浦武井,490,0,障,3000,３歳以上障害未勝利
2026.6.6,東1,9,アウスヴァール,,セ,60.0,森一,栗東昆,492,-4,障,3000,３歳以上障害未勝利
2026.6.6,東1,10,コスモアミマネラ,,牡,60.0,小坂,美浦柄崎,490,-2,障,3000,３歳以上障害未勝利
2026.6.6,東1,11,シャトーホークビル,,牡,60.0,江田勇,美浦加藤和,458,6,障,3000,３歳以上障害未勝利
2026.6.6,東1,12,タガノバルコス,,牡,60.0,高田,栗東秋山,486,-6,障,3000,３歳以上障害未勝利
2026.6.6,東1,13,フェスティヴビーム,,セ,57.0,▲小林凌,美浦畠山,480,8,障,3000,３歳以上障害未勝利
2026.6.6,東1,14,ライラスター,,セ,60.0,上野,美浦田中剛,468,0,障,3000,３歳以上障害未勝利
2026.6.6,東2,1,ラショナルポイント,,牝,55.0,横山武,美浦大竹,474,0,ダ,1600,３歳未勝利
2026.6.6,東2,2,ビレッジルイーザ,,牝,55.0,丹内,美浦伊藤圭,446,0,ダ,1600,３歳未勝利
2026.6.6,東2,3,アジュアカレンツ,,牝,55.0,ディー,美浦西田,442,0,ダ,1600,３歳未勝利
2026.6.6,東2,4,ダイユウヴェンティ,,牝,55.0,菊沢,美浦松永康,430,0,ダ,1600,３歳未勝利
2026.6.6,東2,5,コーリンクレア,,牝,55.0,石橋脩,美浦小野,446,4,ダ,1600,３歳未勝利
2026.6.6,東2,6,カグヤヒメ,,牝,55.0,ゴンサルベ,美浦加藤士,458,0,ダ,1600,３歳未勝利
2026.6.6,東2,7,デルマザオウ,,牝,55.0,木幡巧,美浦松山,492,8,ダ,1600,３歳未勝利
2026.6.6,東2,8,アリストクラット,,牝,52.0,▲石神道,美浦田島,384,8,ダ,1600,３歳未勝利
2026.6.6,東2,9,アイアンパイク,,牝,55.0,横山典,美浦村田,450,-2,ダ,1600,３歳未勝利
2026.6.6,東2,10,アンニャンクッキー,,牝,55.0,原,美浦黒岩,456,0,ダ,1600,３歳未勝利
2026.6.6,東2,11,アテナガール,,牝,52.0,▲石田,美浦西田,470,4,ダ,1600,３歳未勝利
