日付S,場 R,馬番,馬名S,馬ID,性別,斤量,騎手,調教師,馬体重,馬体重増減,芝ダ,距離,クラス
2026.1.10,中1,1,キョウエイハル,,牝,55.0,嶋田,美浦伊坂,450,-4,ダ,1200,３歳未勝利
2026.1.10,中1,2,コウソクユノ,,牝,55.0,杉原,美浦中舘,432,-6,ダ,1200,３歳未勝利
2026.1.10,中1,3,ジャメビュ,,牝,52.0,▲遠藤,美浦佐藤吉,428,2,ダ,1200,３歳未勝利
2026.1.10,中1,4,ルージュノヴァ,,牝,52.0,▲石田,美浦萱野,482,28,ダ,1200,３歳未勝利
2026.1.10,中1,5,フラゲルムデイ,,牝,52.0,▲舟山,美浦石栗,472,22,ダ,1200,３歳未勝利
2026.1.10,中1,6,ヴィビーム,,牝,55.0,菊沢,美浦岩戸,446,10,ダ,1200,３歳未勝利
2026.1.10,中1,7,チャーミングアイ,,牝,55.0,小林脩,美浦菊川,472,4,ダ,1200,３歳未勝利
2026.1.10,中1,8,カンレイスター,,牝,55.0,戸崎圭,美浦矢野,444,-4,ダ,1200,３歳未勝利
2026.1.10,中1,9,ローズライズ,,牝,51.0,★谷原,美浦伊藤圭,448,0,ダ,1200,３歳未勝利
2026.1.10,中1,10,フェルアフリーゼ,,牝,53.0,△長浜,美浦深山,446,14,ダ,1200,３歳未勝利
2026.1.10,中1,11,ライヴレッドアイ,,牝,55.0,木幡巧,美浦牧,494,2,ダ,1200,３歳未勝利
2026.1.10,中1,12,ルクスアンジュ,,牝,55.0,木幡初,美浦鹿戸,470,0,ダ,1200,３歳未勝利
2026.1.10,中1,13,オレンジキャンパス,,牝,55.0,武藤,美浦武藤,470,10,ダ,1200,３歳未勝利
2026.1.10,中1,14,ミッキーパラソル,,牝,55.0,佐々木,美浦久保田,472,0,ダ,1200,３歳未勝利
2026.1.10,中1,15,ジョリュウジャンシ,,牝,52.0,▲石神道,美浦南田,402,-12,ダ,1200,３歳未勝利
2026.1.10,中1,16,オレンジリバー,,牝,55.0,原,美浦黒岩,424,2,ダ,1200,３歳未勝利
2026.1.10,中2,1,フーディエラン,,牝,55.0,横山琉,美浦田中剛,416,-4,ダ,1800,３歳未勝利
2026.1.10,中2,2,ベルウッドピース,,牡,57.0,丹内,美浦中舘,522,4,ダ,1800,３歳未勝利
2026.1.10,中2,3,ティラーノ,,牡,57.0,佐々木,美浦小手川,468,0,ダ,1800,３歳未勝利
2026.1.10,中2,4,レーヴドクロンヌ,,牡,54.0,▲上里,美浦加藤士,478,-14,ダ,1800,３歳未勝利
2026.1.10,中2,5,ホッカイダイオー,,牡,54.0,▲佐藤,美浦奥平,494,2,ダ,1800,３歳未勝利
2026.1.10,中2,6,ビリージェイ,,牡,57.0,大野,美浦高柳瑞,458,12,ダ,1800,３歳未勝利
2026.1.10,中2,7,メイプルインパクト,,牡,57.0,丸田,美浦南田,532,-8,ダ,1800,３歳未勝利
2026.1.10,中2,8,コパノエイダン,,牡,57.0,原,美浦上原博,496,4,ダ,1800,３歳未勝利
2026.1.10,中2,9,ジーティームーチョ,,牡,57.0,内田博,美浦池上,514,-6,ダ,1800,３歳未勝利
2026.1.10,中2,10,スターゲイザー,,牡,55.0,△長浜,美浦根本,546,28,ダ,1800,３歳未勝利
2026.1.10,中2,11,ウインデイブレイク,,牡,57.0,菊沢,美浦青木,512,-4,ダ,1800,３歳未勝利
2026.1.10,中2,12,アルデキングダム,,牡,57.0,横山典,美浦村田,468,2,ダ,1800,３歳未勝利
2026.1.10,中2,13,ノーブルホライズン,,牡,57.0,木幡初,美浦粕谷,482,-4,ダ,1800,３歳未勝利
2026.1.10,中2,14,トップデュオ,,牡,57.0,荻野極,美浦尾関,450,2,ダ,1800,３歳未勝利
2026.1.10,中2,15,ニシノロッドマン,,牡,57.0,野中,美浦矢嶋,506,-6,ダ,1800,３歳未勝利
2026.1.10,中2,16,カフェタンガロア,,牡,57.0,横山和,美浦嘉藤,454,-2,ダ,1800,３歳未勝利
2026.1.10,中3,1,キョンチャン,,牝,55.0,江田照,美浦深山,450,-4,ダ,1200,３歳未勝利
2026.1.10,中3,2,アクシズ,,牡,54.0,▲舟山,美浦尾形,440,6,ダ,1200,３歳未勝利
2026.1.10,中3,3,サノノキャニオン,,牡,57.0,横山武,美浦栗田,510,-6,ダ,1200,３歳未勝利
2026.1.10,中3,4,スノーランス,,牝,55.0,菅原明,美浦上原佑,474,6,ダ,1200,３歳未勝利
2026.1.10,中3,5,イーアンベ,,牡,57.0,丸山,美浦和田雄,472,8,ダ,1200,３歳未勝利
2026.1.10,中3,6,スフェーンテソーロ,,牝,55.0,木幡巧,美浦牧,480,0,ダ,1200,３歳未勝利
2026.1.10,中3,7,ダイユウサルターレ,,牡,57.0,佐々木,美浦松永康,514,2,ダ,1200,３歳未勝利
2026.1.10,中3,8,タイセイエキサイト,,牡,57.0,菊沢,美浦青木,514,-6,ダ,1200,３歳未勝利
2026.1.10,中3,9,ミスタートントン,,牡,57.0,石橋脩,美浦勢司,464,6,ダ,1200,３歳未勝利
2026.1.10,中3,10,サトミノアカリ,,牝,52.0,▲小林美,美浦鈴木伸,472,-4,ダ,1200,３歳未勝利
2026.1.10,中3,11,ガルディーノ,,牡,54.0,▲石田,美浦新開,490,6,ダ,1200,３歳未勝利
2026.1.10,中3,12,コックピットサイト,,牡,57.0,荻野極,美浦鹿戸,484,10,ダ,1200,３歳未勝利
2026.1.10,中3,13,グラスリッキー,,牡,57.0,大野,美浦杉浦,472,0,ダ,1200,３歳未勝利
2026.1.10,中3,14,エンカウンターベイ,,牝,52.0,▲佐藤,美浦田中剛,436,-2,ダ,1200,３歳未勝利
2026.1.10,中3,15,ヘイスティハート,,牡,57.0,戸崎圭,美浦小笠,476,-6,ダ,1200,３歳未勝利
2026.1.10,中3,16,オンマイビート,,牡,57.0,丹内,美浦松山,466,4,ダ,1200,３歳未勝利
2026.1.10,中4,1,アンジュレーヌ,,牝,55.0,野中,美浦宮田,466,0,ダ,1800,３歳新馬
2026.1.10,中4,2,リオハリソンメリー,,牝,55.0,横山武,美浦加藤征,418,0,ダ,1800,３歳新馬
2026.1.10,中4,3,エコロストーム,,牝,55.0,丹内,美浦千葉,462,0,ダ,1800,３歳新馬
2026.1.10,中4,4,ギャニミード,,牝,55.0,内田博,美浦木村,460,0,ダ,1800,３歳新馬
2026.1.10,中4,5,パルフェ,,牝,55.0,菅原明,美浦高柳瑞,462,0,ダ,1800,３歳新馬
2026.1.10,中4,6,ラブカニュー,,牝,55.0,江田照,美浦蛯名利,468,0,ダ,1800,３歳新馬
2026.1.10,中4,7,アースアクシス,,牝,55.0,戸崎圭,美浦栗田,500,0,ダ,1800,３歳新馬
2026.1.10,中4,8,ナズドゥラヴィ,,牝,55.0,伊藤,美浦千葉,450,0,ダ,1800,３歳新馬
2026.1.10,中4,9,スイートハイデン,,牝,55.0,佐々木,美浦菊川,478,0,ダ,1800,３歳新馬
2026.1.10,中4,10,メイアイリス,,牝,52.0,▲石神道,美浦深山,470,0,ダ,1800,３歳新馬
2026.1.10,中4,11,ガーヴィ,,牝,52.0,▲舟山,美浦村田,456,0,ダ,1800,３歳新馬
2026.1.10,中4,12,ニューハイ,,牝,52.0,▲遠藤,美浦堀内,410,0,ダ,1800,３歳新馬
2026.1.10,中5,1,コンヴァーンクル,,牡,57.0,丹内,美浦菊川,468,0,芝,2000,３歳新馬
2026.1.10,中5,2,オンザギャラクシー,,牡,57.0,木幡巧,美浦大和田,524,0,芝,2000,３歳新馬
2026.1.10,中5,3,オリオンブレード,,牡,57.0,横山武,栗東矢作,514,0,芝,2000,３歳新馬
2026.1.10,中5,4,バトルモクオ,,牡,57.0,松岡,美浦戸田,496,0,芝,2000,３歳新馬
2026.1.10,中5,5,インタノン,,牡,57.0,大野,美浦堀,488,0,芝,2000,３歳新馬
2026.1.10,中5,6,バルドル,,牡,57.0,原,美浦池上,454,0,芝,2000,３歳新馬
2026.1.10,中5,7,カレリアフレイバー,,牝,55.0,田辺,美浦久保田,436,0,芝,2000,３歳新馬
2026.1.10,中5,8,チャンピオンホープ,,牡,57.0,横山和,美浦勢司,488,0,芝,2000,３歳新馬
2026.1.10,中5,9,サヴマ,,牡,57.0,石橋脩,美浦辻,438,0,芝,2000,３歳新馬
2026.1.10,中5,10,カタカムナ,,牝,52.0,▲小林美,美浦蛯名利,440,0,芝,2000,３歳新馬
2026.1.10,中5,11,ランブレイ,,牡,57.0,佐々木,美浦黒岩,528,0,芝,2000,３歳新馬
2026.1.10,中5,12,リアルケンチャン,,セ,57.0,内田博,栗東緒方,444,0,芝,2000,３歳新馬
2026.1.10,中5,13,ピースフルマインド,,牝,55.0,三浦,美浦伊坂,420,0,芝,2000,３歳新馬
2026.1.10,中5,14,ランザワールド,,牝,55.0,戸崎圭,美浦宮田,496,0,芝,2000,３歳新馬
2026.1.10,中5,15,アルメーリス,,牡,57.0,荻野極,栗東高橋一,540,0,芝,2000,３歳新馬
2026.1.10,中6,1,ロードスカイブルー,,牡,57.0,横山和,美浦和田勇,480,10,ダ,1800,４歳以上１勝クラス
2026.1.10,中6,2,ガラスノブルース,,牡,58.0,杉原,美浦田村,446,-2,ダ,1800,４歳以上１勝クラス
2026.1.10,中6,3,タリスマン,,牡,58.0,伊藤,美浦金成,478,0,ダ,1800,４歳以上１勝クラス
2026.1.10,中6,4,ロジルーラー,,牡,58.0,松岡,美浦稲垣,514,-4,ダ,1800,４歳以上１勝クラス
2026.1.10,中6,5,ロードインフェルノ,,牡,58.0,丹内,美浦尾形,488,8,ダ,1800,４歳以上１勝クラス
2026.1.10,中6,6,プロスペクトパーク,,牡,57.0,荻野極,美浦高柳瑞,502,2,ダ,1800,４歳以上１勝クラス
2026.1.10,中6,7,グラスビジョン,,牡,57.0,菊沢,美浦佐藤吉,442,20,ダ,1800,４歳以上１勝クラス
2026.1.10,中6,8,ナムラジミー,,牡,57.0,丸田,美浦武市,488,8,ダ,1800,４歳以上１勝クラス
2026.1.10,中6,9,コスモシェルベット,,牡,57.0,武藤,美浦水野,452,0,ダ,1800,４歳以上１勝クラス
2026.1.10,中6,10,コーリンカルベラ,,牡,58.0,吉田豊,美浦小野,496,8,ダ,1800,４歳以上１勝クラス
2026.1.10,中6,11,ミスティブルー,,牡,54.0,▲舟山,美浦高橋文,482,8,ダ,1800,４歳以上１勝クラス
2026.1.10,中6,12,マリンバンカー,,牡,55.0,▲石神道,美浦南田,510,4,ダ,1800,４歳以上１勝クラス
2026.1.10,中6,13,ブレードサクセス,,牡,58.0,内田博,美浦岩戸,496,-6,ダ,1800,４歳以上１勝クラス
2026.1.10,中6,14,ウインファヴォリ,,セ,57.0,原田和,美浦栗田,494,2,ダ,1800,４歳以上１勝クラス
2026.1.10,中6,15,ニシノブレイゼスト,,牡,57.0,菅原明,美浦高木,506,0,ダ,1800,４歳以上１勝クラス
2026.1.10,中6,16,ファルコンミノル,,牡,58.0,田辺,美浦中舘,452,0,ダ,1800,４歳以上１勝クラス
2026.1.10,中7,1,ワイルドカモミール,,牝,52.0,▲石神道,美浦金成,426,-6,芝,1600,３歳未勝利
2026.1.10,中7,2,ブルーハーツ,,牡,57.0,菊沢,美浦勢司,478,0,芝,1600,３歳未勝利
2026.1.10,中7,3,タケウチビー,,牝,55.0,長岡,美浦深山,404,0,芝,1600,３歳未勝利
2026.1.10,中7,4,アースジャッジ,,牡,57.0,菅原明,美浦高木,478,20,芝,1600,３歳未勝利
2026.1.10,中7,5,リラ,,牝,55.0,三浦,美浦蛯名正,424,0,芝,1600,３歳未勝利
2026.1.10,中7,6,ディールメーカー,,牡,57.0,戸崎圭,美浦大和田,494,8,芝,1600,３歳未勝利
2026.1.10,中7,7,ベッラモレーン,,牝,55.0,石橋脩,美浦矢野,458,-6,芝,1600,３歳未勝利
2026.1.10,中7,8,エフティヴェント,,牡,57.0,柴田大,美浦金成,412,-10,芝,1600,３歳未勝利
2026.1.10,中7,9,ラプランセス,,牝,55.0,横山武,美浦斎藤誠,462,-4,芝,1600,３歳未勝利
2026.1.10,中7,10,セルリア,,牝,55.0,木幡巧,美浦大和田,454,10,芝,1600,３歳未勝利
2026.1.10,中7,11,セイウンリメンバー,,牡,55.0,△長浜,美浦千葉,476,4,芝,1600,３歳未勝利
2026.1.10,中7,12,カドドゥディエ,,牝,52.0,▲遠藤,美浦西田,428,2,芝,1600,３歳未勝利
2026.1.10,中7,13,シャルムグリーン,,牡,57.0,津村,美浦相沢,486,0,芝,1600,３歳未勝利
2026.1.10,中7,14,ファインダーズ,,牝,55.0,横山和,美浦和田勇,456,10,芝,1600,３歳未勝利
2026.1.10,中7,15,セーヌデローヴ,,牡,57.0,佐々木,美浦黒岩,442,-6,芝,1600,３歳未勝利
2026.1.10,中7,16,ウマナミカイドウ,,セ,54.0,▲石田,美浦天間,456,14,芝,1600,３歳未勝利
2026.1.10,中8,1,パイシャオピン,,牝,55.0,横山武,美浦鈴木伸,460,2,ダ,1800,４歳以上２勝クラス
2026.1.10,中8,2,エーデル,,牝,56.0,丹内,美浦金成,474,14,ダ,1800,４歳以上２勝クラス
2026.1.10,中8,3,トレサフィール,,牡,57.0,横山和,美浦稲垣,484,6,ダ,1800,４歳以上２勝クラス
2026.1.10,中8,4,デルマタモン,,牡,55.0,▲石田,美浦勢司,516,4,ダ,1800,４歳以上２勝クラス
2026.1.10,中8,5,トルショー,,牡,55.0,△長浜,美浦伊藤圭,470,8,ダ,1800,４歳以上２勝クラス
2026.1.10,中8,6,スマートカイロス,,牡,54.0,▲古川奈,栗東矢作,504,-4,ダ,1800,４歳以上２勝クラス
2026.1.10,中8,7,レッドライトニング,,牡,58.0,津村,美浦浅利,488,6,ダ,1800,４歳以上２勝クラス
2026.1.10,中8,8,ピコシー,,牡,57.0,内田博,美浦奥村武,474,2,ダ,1800,４歳以上２勝クラス
2026.1.10,中8,9,ヤウガウ,,セ,58.0,菊沢,美浦金成,496,-2,ダ,1800,４歳以上２勝クラス
2026.1.10,中8,10,アパイシュナール,,牝,53.0,▲石神道,美浦田村,460,-4,ダ,1800,４歳以上２勝クラス
2026.1.10,中8,11,ダイシンバースディ,,牡,58.0,菅原明,美浦戸田,480,2,ダ,1800,４歳以上２勝クラス
2026.1.10,中8,12,エクリプスルバン,,セ,58.0,佐々木,美浦田中博,450,-2,ダ,1800,４歳以上２勝クラス
2026.1.10,中8,13,トーホウキザン,,牡,55.0,▲橋木,栗東高橋康,486,18,ダ,1800,４歳以上２勝クラス
2026.1.10,中9,1,ラフレードピエル,,牡,57.0,菊沢,美浦萱野,460,22,ダ,1800,黒竹賞(1勝クラス)
2026.1.10,中9,2,ファイアマン,,牡,57.0,菅原明,美浦上原博,494,4,ダ,1800,黒竹賞(1勝クラス)
2026.1.10,中9,3,ダンツシタン,,牡,57.0,石橋脩,栗東本田,536,2,ダ,1800,黒竹賞(1勝クラス)
2026.1.10,中9,4,マクリール,,牡,57.0,横山武,美浦手塚久,474,4,ダ,1800,黒竹賞(1勝クラス)
2026.1.10,中9,5,ケントン,,牡,57.0,荻野極,美浦田島,494,6,ダ,1800,黒竹賞(1勝クラス)
2026.1.10,中9,6,タイセイエムロード,,牡,57.0,大野,美浦新開,462,10,ダ,1800,黒竹賞(1勝クラス)
2026.1.10,中9,7,ハイライトニング,,牡,57.0,横山和,美浦嘉藤,478,0,ダ,1800,黒竹賞(1勝クラス)
2026.1.10,中9,8,テンカムテキ,,牡,57.0,丹内,美浦林,506,0,ダ,1800,黒竹賞(1勝クラス)
2026.1.10,中9,9,オトシダマ,,牝,55.0,伊藤,美浦金成,486,-4,ダ,1800,黒竹賞(1勝クラス)
2026.1.10,中9,10,アジアントレジャー,,牡,57.0,長浜,美浦蛯名正,520,8,ダ,1800,黒竹賞(1勝クラス)
2026.1.10,中10,1,ウインベアトリス,,牝,55.0,石神道,美浦深山,454,-2,芝,1600,初凪賞(2勝クラス)
2026.1.10,中10,2,アンジョルラス,,セ,58.0,菅原明,栗東藤野,498,6,芝,1600,初凪賞(2勝クラス)
2026.1.10,中10,3,ホークマン,,牡,58.0,柴田大,美浦粕谷,494,8,芝,1600,初凪賞(2勝クラス)
2026.1.10,中10,4,シルバーレイン,,牡,57.0,大野,美浦萩原,472,-4,芝,1600,初凪賞(2勝クラス)
2026.1.10,中10,5,バセリーナ,,牡,57.0,野中,美浦松山,470,0,芝,1600,初凪賞(2勝クラス)
2026.1.10,中10,6,ロゼル,,牡,58.0,横山琉,美浦大和田,494,4,芝,1600,初凪賞(2勝クラス)
2026.1.10,中10,7,ハリケーンリッジ,,牝,56.0,杉原,美浦大和田,454,18,芝,1600,初凪賞(2勝クラス)
2026.1.10,中10,8,ダノンミッション,,牡,57.0,佐々木,美浦堀,484,16,芝,1600,初凪賞(2勝クラス)
2026.1.10,中10,9,ワンモアスマイル,,牡,57.0,荻野極,栗東藤岡,460,8,芝,1600,初凪賞(2勝クラス)
2026.1.10,中10,10,マルカオペラ,,牝,56.0,津村,栗東浜田,478,-6,芝,1600,初凪賞(2勝クラス)
2026.1.10,中10,11,ワタシマツワ,,牝,55.0,長岡,美浦竹内,416,-4,芝,1600,初凪賞(2勝クラス)
2026.1.10,中10,12,ストレイトトーカー,,牡,57.0,横山武,美浦岩戸,478,4,芝,1600,初凪賞(2勝クラス)
2026.1.10,中10,13,エールトゥヘヴン,,牡,58.0,丹内,美浦戸田,468,6,芝,1600,初凪賞(2勝クラス)
2026.1.10,中10,14,ミトノオルフェ,,牡,57.0,三浦,栗東前川,518,2,芝,1600,初凪賞(2勝クラス)
2026.1.10,中10,15,レーヴブリリアント,,牡,57.0,舟山,美浦田中博,452,-4,芝,1600,初凪賞(2勝クラス)
2026.1.10,中10,16,マテンロウブラボー,,牡,58.0,戸崎圭,栗東野中,500,-2,芝,1600,初凪賞(2勝クラス)
2026.1.10,中11,1,ロードオールライト,,牡,58.0,菅原明,栗東中内田,526,12,芝,2200,迎春Ｓ(3勝クラス)
2026.1.10,中11,2,バレンタインガール,,牝,56.0,内田博,美浦古賀,480,-4,芝,2200,迎春Ｓ(3勝クラス)
2026.1.10,中11,3,グロッシェン,,牡,58.0,木幡巧,美浦宮田,484,12,芝,2200,迎春Ｓ(3勝クラス)
2026.1.10,中11,4,マイユニバース,,牡,57.0,横山典,栗東武幸,470,6,芝,2200,迎春Ｓ(3勝クラス)
2026.1.10,中11,5,コスモサガルマータ,,牡,58.0,丹内,美浦嘉藤,510,-18,芝,2200,迎春Ｓ(3勝クラス)
2026.1.10,中11,6,モズマーヴェリック,,牡,58.0,三浦,栗東牧浦,480,-6,芝,2200,迎春Ｓ(3勝クラス)
2026.1.10,中11,7,ルカランフィースト,,牡,58.0,荻野極,美浦鹿戸,482,4,芝,2200,迎春Ｓ(3勝クラス)
2026.1.10,中11,8,マイネルブリックス,,牡,58.0,松岡,美浦黒岩,484,6,芝,2200,迎春Ｓ(3勝クラス)
2026.1.10,中11,9,エラン,,牡,58.0,横山武,美浦蛯名正,472,4,芝,2200,迎春Ｓ(3勝クラス)
2026.1.10,中11,10,メイテソーロ,,牡,58.0,原,美浦武市,502,2,芝,2200,迎春Ｓ(3勝クラス)
2026.1.10,中11,11,マイネルラウレア,,牡,58.0,津村,栗東宮,520,6,芝,2200,迎春Ｓ(3勝クラス)
2026.1.10,中11,12,ピンクジン,,牝,56.0,嶋田,美浦南田,454,8,芝,2200,迎春Ｓ(3勝クラス)
2026.1.10,中11,13,アスクナイスショー,,牡,58.0,田辺,美浦中舘,508,4,芝,2200,迎春Ｓ(3勝クラス)
2026.1.10,中11,14,スパークリシャール,,セ,58.0,吉田豊,美浦小島,488,6,芝,2200,迎春Ｓ(3勝クラス)
2026.1.10,中11,15,ナイトインロンドン,,牡,58.0,佐々木,美浦大竹,490,-8,芝,2200,迎春Ｓ(3勝クラス)
2026.1.10,中11,16,イケイケドンドン,,牡,58.0,大野,美浦松山,480,10,芝,2200,迎春Ｓ(3勝クラス)
2026.1.10,中11,17,オールセインツ,,牡,58.0,戸崎圭,栗東友道,496,-2,芝,2200,迎春Ｓ(3勝クラス)
2026.1.10,中12,1,シルフレイ,,牝,56.0,横山武,美浦千葉,438,-6,ダ,1200,４歳以上１勝クラス
2026.1.10,中12,2,キボウノホシ,,セ,58.0,丹内,美浦奥平,486,0,ダ,1200,４歳以上１勝クラス
2026.1.10,中12,3,ペッパーミル,,牡,58.0,荻野極,美浦加藤士,504,-2,ダ,1200,４歳以上１勝クラス
2026.1.10,中12,4,ハッピーパンニャ,,牡,58.0,津村,美浦鈴木伸,504,8,ダ,1200,４歳以上１勝クラス
2026.1.10,中12,5,ハヌル,,牝,56.0,嶋田,美浦岩戸,492,20,ダ,1200,４歳以上１勝クラス
2026.1.10,中12,6,ピコレッド,,牡,58.0,木幡巧,美浦牧,542,10,ダ,1200,４歳以上１勝クラス
2026.1.10,中12,7,ウインレアリゼ,,牝,53.0,▲石神道,美浦小手川,474,10,ダ,1200,４歳以上１勝クラス
2026.1.10,中12,8,ハドソンテソーロ,,牝,53.0,▲舟山,美浦菊川,460,-4,ダ,1200,４歳以上１勝クラス
2026.1.10,中12,9,サイモンカーチス,,牡,56.0,△長浜,美浦根本,508,6,ダ,1200,４歳以上１勝クラス
2026.1.10,中12,10,セイウンビッグバン,,牡,58.0,内田博,美浦萱野,454,2,ダ,1200,４歳以上１勝クラス
2026.1.10,中12,11,ファイブセンス,,牝,56.0,吉田豊,美浦高橋文,470,4,ダ,1200,４歳以上１勝クラス
2026.1.10,中12,12,プルシャプラ,,牡,58.0,北村宏,美浦池上,532,14,ダ,1200,４歳以上１勝クラス
2026.1.10,中12,13,バルジール,,牡,58.0,田辺,美浦久保田,494,-6,ダ,1200,４歳以上１勝クラス
2026.1.10,中12,14,ペロ,,牡,58.0,丸山,美浦小西,508,4,ダ,1200,４歳以上１勝クラス
2026.1.10,中12,15,ガンハンマー,,牡,58.0,佐々木,美浦加藤征,444,12,ダ,1200,４歳以上１勝クラス
2026.1.10,中12,16,エテオクロス,,牡,55.0,▲石田,美浦新開,516,-4,ダ,1200,４歳以上１勝クラス
2026.1.10,京1,1,ヴァンロゼ,,牝,55.0,団野,栗東東田,452,0,ダ,1800,３歳未勝利
2026.1.10,京1,2,アスタウイン,,牝,55.0,国分優,栗東小椋,448,-12,ダ,1800,３歳未勝利
2026.1.10,京1,3,ジーティービキニ,,牝,55.0,北村友,栗東松下,494,-2,ダ,1800,３歳未勝利
2026.1.10,京1,4,ワンストローク,,牝,55.0,松若,栗東宮本,494,-14,ダ,1800,３歳未勝利
2026.1.10,京1,5,オレンジフィールド,,牝,55.0,亀田,栗東北出,468,4,ダ,1800,３歳未勝利
2026.1.10,京1,6,クイーンズドリーム,,牝,55.0,小崎,栗東大久保,512,-2,ダ,1800,３歳未勝利
2026.1.10,京1,7,デパーチャー,,牝,55.0,城戸,栗東宮地,438,-2,ダ,1800,３歳未勝利
2026.1.10,京1,8,カワキタベレッタ,,牝,51.0,★河原田,栗東角田,444,12,ダ,1800,３歳未勝利
2026.1.10,京1,9,メイショウメゴヒメ,,牝,55.0,田口,栗東大橋,460,-2,ダ,1800,３歳未勝利
2026.1.10,京1,10,ハンターワディー,,牝,55.0,岩田望,栗東野中,432,0,ダ,1800,３歳未勝利
2026.1.10,京1,11,セラサイト,,牝,55.0,吉村,栗東茶木,482,-6,ダ,1800,３歳未勝利
2026.1.10,京1,12,アスターシャウルス,,牝,53.0,△柴田裕,栗東中竹,406,-12,ダ,1800,３歳未勝利
2026.1.10,京1,13,レザーアンドレース,,牝,52.0,▲和田陽,栗東平田,468,2,ダ,1800,３歳未勝利
2026.1.10,京1,14,リリークリスタル,,牝,52.0,▲川端,栗東緒方,474,2,ダ,1800,３歳未勝利
2026.1.10,京1,15,ミライチケット,,牝,55.0,和田竜,栗東加藤公,444,6,ダ,1800,３歳未勝利
2026.1.10,京1,16,ホールドミーワンス,,牝,55.0,高杉,栗東西園翔,506,4,ダ,1800,３歳未勝利
2026.1.10,京2,1,タロ,,牡,54.0,▲田山,栗東新谷,462,0,ダ,1900,３歳未勝利
2026.1.10,京2,2,ドメイン,,牡,57.0,松若,栗東松下,510,2,ダ,1900,３歳未勝利
2026.1.10,京2,3,スズノグレイス,,牡,57.0,藤懸,栗東牧田,438,0,ダ,1900,３歳未勝利
2026.1.10,京2,4,ヴァルボリ,,牡,55.0,△鷲頭,栗東西村,480,-4,ダ,1900,３歳未勝利
2026.1.10,京2,5,クリムゾンバースト,,牡,57.0,吉村,栗東長谷川,466,2,ダ,1900,３歳未勝利
2026.1.10,京2,6,ウォーターハクビ,,牡,56.0,☆西塚,栗東井上,476,-2,ダ,1900,３歳未勝利
2026.1.10,京2,7,カイラーサ,,牡,57.0,鮫島良,栗東河嶋,522,-2,ダ,1900,３歳未勝利
2026.1.10,京2,8,ヒロノフウジン,,牡,54.0,▲川端,栗東宮本,506,-4,ダ,1900,３歳未勝利
2026.1.10,京2,9,サイモンエクセラー,,牡,57.0,高杉,栗東四位,448,-4,ダ,1900,３歳未勝利
2026.1.10,京2,10,シャローファースト,,牡,57.0,岩田康,栗東安田,520,4,ダ,1900,３歳未勝利
2026.1.10,京2,11,ポップアップ,,セ,57.0,小崎,栗東寺島,488,12,ダ,1900,３歳未勝利
2026.1.10,京2,12,ロックバンド,,牡,57.0,坂井,栗東茶木,442,0,ダ,1900,３歳未勝利
2026.1.10,京2,13,ハクアイタワー,,牡,57.0,和田竜,栗東今野,488,4,ダ,1900,３歳未勝利
2026.1.10,京2,14,セイントホース,,牡,57.0,菱田,栗東谷,494,4,ダ,1900,３歳未勝利
2026.1.10,京3,1,ホーリーステップ,,牝,55.0,団野,栗東斉藤崇,450,0,ダ,1400,３歳新馬
2026.1.10,京3,2,ビービークローサー,,牡,57.0,坂井,栗東野中,470,0,ダ,1400,３歳新馬
