日付S,場 R,馬番,馬名S,馬ID,性別,斤量,騎手,調教師,馬体重,馬体重増減,芝ダ,距離,クラス
2026.2.28,中1,1,アンジュブルー,,牝,55.0,杉原,美浦稲垣,,,ダ,1200,３歳未勝利
2026.2.28,中1,2,ハングローズ,,牝,55.0,佐々木,美浦奥村武,434,-4,ダ,1200,３歳未勝利
2026.2.28,中1,3,ブーケドリス,,牝,55.0,三浦,美浦宮田,458,2,ダ,1200,３歳未勝利
2026.2.28,中1,4,セントリアン,,牝,55.0,原田和,美浦萱野,430,2,ダ,1200,３歳未勝利
2026.2.28,中1,5,シュガームーン,,牝,52.0,▲佐藤,美浦的場,400,-4,ダ,1200,３歳未勝利
2026.2.28,中1,6,ルプルミエラムール,,牝,55.0,鮫島駿,美浦加藤征,456,2,ダ,1200,３歳未勝利
2026.2.28,中1,7,ワルキューレクイン,,牝,55.0,木幡巧,美浦柄崎,446,0,ダ,1200,３歳未勝利
2026.2.28,中1,8,グランキンバリー,,牝,55.0,菅原明,美浦土田,438,0,ダ,1200,３歳未勝利
2026.2.28,中1,9,ハミングディスト,,牝,52.0,▲上里,美浦嘉藤,480,2,ダ,1200,３歳未勝利
2026.2.28,中1,10,ディーズメンフィス,,牝,55.0,横山和,美浦村田,476,0,ダ,1200,３歳未勝利
2026.2.28,中1,11,クインズヒマワリ,,牝,52.0,▲石神道,美浦和田郎,396,0,ダ,1200,３歳未勝利
2026.2.28,中1,12,ペイトー,,牝,55.0,木幡初,美浦武市,492,0,ダ,1200,３歳未勝利
2026.2.28,中1,13,セイウンサクラサケ,,牝,55.0,原,美浦青木,462,0,ダ,1200,３歳未勝利
2026.2.28,中1,14,タヤスロレンヌ,,牝,55.0,江田照,美浦岩戸,466,2,ダ,1200,３歳未勝利
2026.2.28,中1,15,カプリースカラー,,牝,55.0,戸崎圭,美浦金成,416,6,ダ,1200,３歳未勝利
2026.2.28,中1,16,ジャメビュ,,牝,52.0,▲遠藤,美浦佐藤吉,432,4,ダ,1200,３歳未勝利
2026.2.28,中2,1,フォーエバーラブ,,牡,54.0,▲上里,美浦金成,450,-6,ダ,1800,３歳未勝利
2026.2.28,中2,2,オーシャンドリーム,,牝,52.0,▲石神道,美浦伊藤伸,488,-10,ダ,1800,３歳未勝利
2026.2.28,中2,3,オダイ,,牝,55.0,野中,美浦根本,416,-4,ダ,1800,３歳未勝利
2026.2.28,中2,4,ファーストシーン,,牝,55.0,杉原,美浦大和田,446,0,ダ,1800,３歳未勝利
2026.2.28,中2,5,アマビエ,,牝,52.0,▲遠藤,美浦南田,376,-10,ダ,1800,３歳未勝利
2026.2.28,中2,6,アーティキュレート,,牡,57.0,岩田康,美浦手塚久,490,2,ダ,1800,３歳未勝利
2026.2.28,中2,7,ブレイシオン,,牝,55.0,小林脩,美浦青木,462,-6,ダ,1800,３歳未勝利
2026.2.28,中2,8,スターゲイザー,,牡,55.0,△長浜,美浦根本,538,-8,ダ,1800,３歳未勝利
2026.2.28,中2,9,パラダイスフェイス,,牡,57.0,松山,美浦牧,506,6,ダ,1800,３歳未勝利
2026.2.28,中2,10,ヴァルク,,牡,57.0,丸田,美浦武市,478,2,ダ,1800,３歳未勝利
2026.2.28,中2,11,サウジバラード,,牡,57.0,鮫島駿,美浦加藤征,464,-4,ダ,1800,３歳未勝利
2026.2.28,中2,12,ジェイエルグリーン,,牝,55.0,横山和,美浦小西,450,-8,ダ,1800,３歳未勝利
2026.2.28,中2,13,ドゥーニ,,牡,57.0,津村,美浦矢嶋,488,-14,ダ,1800,３歳未勝利
2026.2.28,中2,14,マンモスホームラン,,牡,57.0,大野,美浦新開,538,0,ダ,1800,３歳未勝利
2026.2.28,中2,15,スカイレックス,,牡,57.0,菅原明,美浦斎藤誠,488,-4,ダ,1800,３歳未勝利
2026.2.28,中3,1,ツクバアヴァロン,,牡,57.0,小林脩,美浦奥平,480,6,ダ,1200,３歳未勝利
2026.2.28,中3,2,キチロクゴール,,牡,57.0,木幡育,美浦松永康,500,0,ダ,1200,３歳未勝利
2026.2.28,中3,3,キタノローズ,,牝,55.0,小林凌,美浦小西,472,0,ダ,1200,３歳未勝利
2026.2.28,中3,4,メイショウオタモイ,,牝,55.0,杉原,美浦高柳瑞,446,6,ダ,1200,３歳未勝利
2026.2.28,中3,5,トモロウィンアスク,,牝,53.0,△長浜,美浦蛯名正,394,8,ダ,1200,３歳未勝利
2026.2.28,中3,6,リゾートライン,,牡,57.0,松山,美浦伊坂,510,4,ダ,1200,３歳未勝利
2026.2.28,中3,7,ドリームガッサン,,牝,55.0,横山武,美浦鈴木伸,428,-4,ダ,1200,３歳未勝利
2026.2.28,中3,8,デスサイズ,,牡,57.0,石川,美浦小手川,460,-6,ダ,1200,３歳未勝利
2026.2.28,中3,9,トーセンシーギリヤ,,牡,57.0,原田和,美浦土田,494,6,ダ,1200,３歳未勝利
2026.2.28,中3,10,コンヴァーンクル,,牡,57.0,佐々木,美浦菊川,468,-2,ダ,1200,３歳未勝利
2026.2.28,中3,11,ノーブルアスール,,牡,54.0,▲佐藤,美浦武藤,472,-2,ダ,1200,３歳未勝利
2026.2.28,中3,12,フレキシブル,,牝,55.0,戸崎圭,美浦斎藤誠,432,-6,ダ,1200,３歳未勝利
2026.2.28,中3,13,ヴィスクレス,,牡,57.0,岩田康,美浦矢嶋,460,-6,ダ,1200,３歳未勝利
2026.2.28,中3,14,ミルトハーバー,,牡,57.0,田辺,美浦鈴木慎,450,2,ダ,1200,３歳未勝利
2026.2.28,中3,15,マダックス,,牡,57.0,大野,美浦高柳瑞,456,0,ダ,1200,３歳未勝利
2026.2.28,中3,16,ユキノサイエンス,,牝,55.0,柴田善,美浦小野,400,-2,ダ,1200,３歳未勝利
2026.2.28,中4,1,パンパネイラ,,セ,54.0,▲佐藤,美浦高橋文,446,-6,ダ,1800,３歳未勝利
2026.2.28,中4,2,クリュメノス,,牡,57.0,小林凌,美浦小西,486,0,ダ,1800,３歳未勝利
2026.2.28,中4,3,ゴールドプレイヤー,,牡,57.0,戸崎圭,美浦古賀,464,2,ダ,1800,３歳未勝利
2026.2.28,中4,4,ロードキャリバー,,牡,57.0,大野,美浦和田勇,498,-12,ダ,1800,３歳未勝利
2026.2.28,中4,5,リケアマカロニ,,牝,55.0,横山和,美浦小野,476,8,ダ,1800,３歳未勝利
2026.2.28,中4,6,トクシーゼファー,,牡,55.0,△長浜,美浦辻,496,0,ダ,1800,３歳未勝利
2026.2.28,中4,7,ソルトバーン,,牝,55.0,柴田大,美浦和田雄,426,-4,ダ,1800,３歳未勝利
2026.2.28,中4,8,スケダチムヨウ,,牡,57.0,野中,美浦根本,442,3,ダ,1800,３歳未勝利
2026.2.28,中4,9,インディヴァイン,,牡,57.0,ルメール,美浦林,526,-10,ダ,1800,３歳未勝利
2026.2.28,中4,10,タニセンローマ,,牡,57.0,岩田康,美浦斎藤誠,460,-4,ダ,1800,３歳未勝利
2026.2.28,中4,11,トゥントゥントゥン,,牡,54.0,▲上里,美浦手塚久,414,-2,ダ,1800,３歳未勝利
2026.2.28,中4,12,カンフーヒーロー,,牡,57.0,木幡巧,美浦的場,484,-2,ダ,1800,３歳未勝利
2026.2.28,中5,1,アルタティール,,牡,57.0,江田照,美浦手塚久,428,-4,芝,2000,３歳未勝利
2026.2.28,中5,2,セットエトワール,,牝,55.0,戸崎圭,美浦鹿戸,478,2,芝,2000,３歳未勝利
2026.2.28,中5,3,ギルドホール,,牡,57.0,杉原,美浦嘉藤,448,-4,芝,2000,３歳未勝利
2026.2.28,中5,4,コスモアンタレス,,牡,57.0,柴田大,美浦和田勇,462,-10,芝,2000,３歳未勝利
